complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 0.959 2.102 -35.7645987 417.16 9.01013 -14.8071 -12.3443 1287.49 it0 1k4c 705 Easy
2 13.601 30.105 -10.0395301 1298.94 -1.60801 -4.26846 -6.80819 1193.62 it0 1k4c 6360 Easy
3 10.638 26.939 -25.8562489 1185.26 4.58911 -5.10454 -19.5606 1308.96 it0 1k4c 3083 Easy
4 6.757 20.617 -26.756805 990.199 12.5825 -9.88172 -11.7789 1512.4 it0 1k4c 2916 Easy
5 0.934 4.333 -31.571787 602.385 24.9723 -16.4337 -8.06686 1334.48 it0 1k4c 2137 Easy
6 14.473 29.379 -2.988335 1385.01 26.7835 -1.33664 -4.52393 1124.57 it0 1k4c 8595 Easy
7 14.348 29.247 -4.985707 1253.87 20.8563 -0.97943 -5.58424 1116.93 it0 1k4c 8029 Easy
8 10.826 26.383 -25.9056835 1206.93 -2.13535 -4.64953 -19.672 1363.21 it0 1k4c 3074 Easy
9 6.213 27.452 -10.763576 1411.04 24.4844 -2.1838 -14.0344 890.062 it0 1k4c 6111 Easy
10 2.506 12.302 -7.470409 1071.79 11.9531 -5.46612 -2.40122 1044.05 it0 1k4c 7230 Easy
11 11.768 25.842 -5.682303 1641.43 31.7457 -2.41498 -8.37958 1161.95 it0 1k4c 7841 Easy
12 0.924 4.277 -37.816106 388.467 18.0324 -16.3527 -11.7402 1378.82 it0 1k4c 199 Easy
13 11.000 24.468 -10.915862 886.208 21.3178 -3.25447 -4.78355 1195.31 it0 1k4c 6058 Easy
14 0.907 4.445 -34.698157 511.088 38.2983 -16.666 -9.20902 1431.7 it0 1k4c 1100 Easy
15 7.234 23.046 -1.798159 1953.05 39.9351 -1.90323 -12.1531 767.168 it0 1k4c 8873 Easy
16 13.605 30.039 -15.4240039 741.454 3.09761 -4.45041 -6.39811 1202.1 it0 1k4c 4805 Easy
17 1.008 2.702 -32.980169 523.68 29.2281 -15.0316 -9.84195 1363.57 it0 1k4c 1780 Easy
