complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 29.327 46.360 46.03270445 10442.3 145.242 6.268445E-02 -46.773 1313.24 it0 1m56 5075 Easy
2 9.436 18.580 13.105289 9262.63 219.528 0.807909 -63.3826 1914.16 it0 1m56 3049 Easy
3 24.523 48.787 47.19217 11296.7 166.757 -1.4249 -47.9755 1804.2 it0 1m56 5162 Easy
4 11.729 32.057 92.00689 17129.4 136.928 -1.14199 -62.2734 1724.1 it0 1m56 8266 Easy
5 11.197 23.987 64.70487 11489.1 195.277 -4.8655 -30.9708 1630.26 it0 1m56 6470 Easy
6 11.091 25.140 39.441474 13102.9 260.983 -0.704756 -70.1079 2338.47 it0 1m56 4645 Easy
7 11.497 22.884 90.99167 14415.2 219.298 2.01889 -44.6376 1273.46 it0 1m56 8210 Easy
8 2.854 5.069 -101.79207 3215.62 140.605 -5.07532 -96.9912 3328.78 it0 1m56 1272 Easy
9 7.931 16.023 52.91699 9636.59 129.974 -2.46655 -30.5632 1171.89 it0 1m56 5607 Easy
10 11.114 24.455 37.053767 12500.1 224.347 -0.195903 -67.5816 2241.32 it0 1m56 4494 Easy
11 24.240 48.217 111.347523 17641 227.977 -0.976947 -48.5287 1783.66 it0 1m56 9086 Easy
12 8.735 20.938 38.82406 10566.9 345.871 -2.78565 -51.3613 1615.67 it0 1m56 4610 Easy
13 28.210 40.749 -32.08984 6090.3 175.63 -3.82974 -67.4796 2343.98 it0 1m56 1843 Easy
14 1.003 1.945 -207.90439 1887.45 253.321 -13.4454 -159.572 5629.47 it0 1m56 61 Easy
15 24.411 48.672 99.91664 16350.1 177.311 -1.44107 -46.0891 1782.73 it0 1m56 8653 Easy
16 2.025 4.692 -116.05408 3375.96 160.402 -5.5199 -106.954 3894.38 it0 1m56 941 Easy
17 17.009 29.646 203.428442 21963 248.707 -0.926158 -6.31507 1144.74 it0 1m56 9943 Easy
18 5.685 11.113 -19.986433 7599.29 352.508 0.893887 -75.3474 2505.09 it0 1m56 2083 Easy
19 5.234 15.229 -32.438272 6522.16 140.863 0.230998 -77.6861 2161.34 it0 1m56 1837 Easy
