complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 9.051 22.955 -7.573203 1111.63 22.0168 0.978679 -11.5069 838.145 it0 1ots 7528 Hard
2 15.357 40.657 -29.035759 816.315 30.9521 -1.84003 -23.3959 1227.25 it0 1ots 1043 Hard
3 4.209 12.592 -20.900963 733.079 39.5127 -8.09983 -14.249 627.805 it0 1ots 3439 Hard
4 6.355 28.762 -16.276262 958.945 21.0468 -2.73484 -15.78 756.134 it0 1ots 5077 Hard
5 16.031 32.993 -22.362499 949.121 15.4871 -6.90078 -14.6281 1047.97 it0 1ots 2954 Hard
6 15.412 34.084 -19.06243 1338.89 18.98 -2.95253 -17.4003 1228.83 it0 1ots 4154 Hard
7 11.665 48.518 1.200853 2554.5 93.5863 1.15709 -12.6792 1375.79 it0 1ots 9396 Hard
8 15.105 28.752 -27.6045749 794.571 -6.23029 -0.583282 -22.5885 1231.62 it0 1ots 1469 Hard
9 11.787 26.241 -12.130929 1559.32 54.2891 3.3534 -22.0724 954.802 it0 1ots 6278 Hard
10 11.928 30.546 -5.937736 2130.71 38.3914 -1.35662 -18.9816 729.053 it0 1ots 7968 Hard
11 13.976 31.761 -33.346639 483.363 38.9161 -2.28213 -20.2543 1603.3 it0 1ots 247 Hard
12 5.763 13.327 3.346998 1504.93 49.9658 1.57788 -6.10356 767.628 it0 1ots 9609 Hard
13 5.633 25.740 -13.4512297 819.987 6.90313 -0.233711 -7.17312 1431.33 it0 1ots 5890 Hard
14 13.903 30.856 -31.915864 497.891 12.2916 -1.02149 -20.2361 1576.01 it0 1ots 432 Hard
15 15.045 31.470 -19.459613 785.992 51.5485 0.876182 -14.5199 1419.13 it0 1ots 3991 Hard
16 5.695 25.309 -22.063139 1352.04 35.0981 -3.30789 -23.7362 889.043 it0 1ots 3051 Hard
17 5.584 18.737 3.486326 1556.37 28.6009 -0.631393 -2.09444 963.755 it0 1ots 9621 Hard
18 4.867 22.488 -17.709794 606.489 23.733 0.107616 -15.3613 875.833 it0 1ots 4617 Hard
19 14.039 32.642 -20.6782175 492.156 1.23125 -1.71469 -10.5796 1331.78 it0 1ots 3522 Hard
20 13.902 31.417 -30.79851 632.565 44.62 -1.85386 -19.5311 1618.54 it0 1ots 629 Hard
21 14.668 31.192 -0.382546 1787.42 49.9014 1.90071 -11.1015 955.497 it0 1ots 9176 Hard
22 4.193 11.593 -16.293353 859.794 11.9227 -4.44571 -11.0024 956.241 it0 1ots 5071 Hard
23 4.387 11.825 -22.218856 782.574 10.9714 -3.36881 -15.8235 1096.2 it0 1ots 2995 Hard
24 4.427 12.786 -22.07435071 473.973 0.845929 -3.02704 -12.4794 1131.61 it0 1ots 3046 Hard
25 7.396 26.772 -0.05021 1777.14 42.08 -1.18984 -9.58608 746.649 it0 1ots 9220 Hard
26 5.574 16.198 -18.71269181 1348.99 21.962 -2.821181E-02 -22.4082 998.58 it0 1ots 4285 Hard
27 13.879 31.714 -35.520616 292.686 21.7924 -1.9042 -20.8667 1589.45 it0 1ots 86 Hard
28 3.665 10.975 -19.673961 750.64 39.6569 -2.92362 -15.6953 895.801 it0 1ots 3918 Hard
29 4.954 20.783 -26.589634 643.901 26.1786 -3.32747 -21.5051 845.786 it0 1ots 1741 Hard
30 7.571 19.912 -13.42236595 1572.73 60.2513 -8.088895E-02 -21.313 835.829 it0 1ots 5900 Hard
31 15.839 31.333 -16.5309553 1345.43 7.61347 -8.22019 -11.2077 1063.35 it0 1ots 5014 Hard
32 15.639 29.911 -22.468295 978.229 98.8627 0.889688 -18.786 1534.29 it0 1ots 2917 Hard
33 6.326 15.902 -20.288354 901.892 51.4686 -8.74806 -10.0797 1099.42 it0 1ots 3676 Hard
34 15.357 32.780 -28.4799075 611.079 -1.35575 0.26296 -20.4511 1438.9 it0 1ots 1189 Hard
35 9.173 22.737 -6.052988 1312.77 29.5833 0.566479 -11.6837 835.93 it0 1ots 7945 Hard
36 15.400 33.964 -17.831822 1035.17 12.1528 -2.95825 -13.2641 1208.27 it0 1ots 4568 Hard
37 13.940 30.875 -32.645328 417.65 15.8522 -1.13315 -20.4698 1537.74 it0 1ots 319 Hard
38 7.585 19.941 -8.3547595 1666.21 62.2627 -4.51165E-02 -17.9835 761.087 it0 1ots 7307 Hard
39 15.553 32.288 -20.401692 1436.89 28.1145 -0.704637 -20.576 1377.11 it0 1ots 3634 Hard
40 5.538 16.057 -16.011499 1765.61 35.2035 -0.242654 -23.8076 996.938 it0 1ots 5166 Hard
41 4.790 12.813 -8.74570229 1328.55 50.3984 -2.052629E-02 -13.182 933.266 it0 1ots 7192 Hard
42 5.690 12.987 -5.285495 1340.79 50.4695 1.82989 -12.9867 804.128 it0 1ots 8138 Hard
43 9.078 23.398 -5.401973 1516.74 26.525 0.628507 -12.8593 860.383 it0 1ots 8109 Hard
44 13.943 30.974 -30.534106 461.243 21.8644 -1.30568 -18.3157 1574.38 it0 1ots 690 Hard
45 15.956 33.053 -11.991067 852.235 33.5183 1.4243 -10.4247 1184.82 it0 1ots 6312 Hard
46 5.872 20.288 -2.387386 1538.36 37.5664 1.09179 -9.46175 977.669 it0 1ots 8809 Hard
47 7.579 23.433 -10.177527 874.538 15.1049 0.799724 -8.88438 1098.93 it0 1ots 6828 Hard
48 15.439 33.114 -14.909605 1547.15 24.8285 -4.63609 -14.8361 1115.72 it0 1ots 5480 Hard
49 13.965 31.341 -30.457425 545.872 24.2655 -1.7496 -18.654 1575.52 it0 1ots 706 Hard
50 5.729 29.943 -29.44723001 1286.89 -0.319701 0.662367 -27.5183 1545.7 it0 1ots 933 Hard
51 3.651 14.779 -30.093019 509.096 17.0981 -3.23986 -21.236 1087.91 it0 1ots 784 Hard
52 8.723 24.744 -6.414651 1706.38 46.8637 0.303982 -18.3759 587.517 it0 1ots 7843 Hard
53 4.565 15.448 -16.637546 846.56 24.5934 -1.53728 -13.233 1057.88 it0 1ots 4976 Hard
54 15.605 29.686 -32.162587 568.486 21.7593 -1.61134 -22.4728 1398.09 it0 1ots 392 Hard
55 10.893 33.298 6.59552785 2703.02 92.4793 -4.887515E-02 -13.1847 812.589 it0 1ots 9820 Hard
56 7.959 18.123 -27.501912 1128.44 50.0778 -4.24099 -24.7947 1025.14 it0 1ots 1499 Hard
57 7.657 32.687 -8.850314 1729.35 27.3286 -1.50299 -15.1322 978.191 it0 1ots 7168 Hard
58 4.428 12.536 -24.141505 687.996 16.2575 -3.50044 -16.4986 1118.5 it0 1ots 2406 Hard
59 4.287 13.751 -14.22376 1304.28 22.441 -3.62707 -13.3613 1050.26 it0 1ots 5693 Hard
60 4.920 32.674 -24.1064498 845.048 6.54602 -2.01829 -19.7092 1089.49 it0 1ots 2417 Hard
61 3.651 14.660 -28.4631367 380.538 7.21233 -3.02964 -18.4292 1088.18 it0 1ots 1198 Hard
62 5.602 15.546 -18.64786 1360.73 20.303 1.52491 -23.7825 1020.06 it0 1ots 4317 Hard
63 15.596 30.842 -12.401007 1387.58 14.5643 -2.92235 -12.6436 1085.65 it0 1ots 6195 Hard
64 3.648 10.970 -20.979284 800.156 38.2086 -2.89548 -17.5898 887.765 it0 1ots 3411 Hard
65 12.182 39.066 -4.704309 904.775 43.5061 -2.12944 -4.02374 803.394 it0 1ots 8275 Hard
66 6.277 21.040 -22.3564845 865.159 -4.06745 3.2212 -23.1513 1103.73 it0 1ots 2955 Hard
67 14.640 32.591 -10.84887 611.355 27.7691 -0.143731 -7.61709 947.929 it0 1ots 6646 Hard
68 7.598 20.000 -13.74271728 1494.97 62.2871 -5.847828E-02 -21.7711 748.571 it0 1ots 5817 Hard
69 5.882 22.938 -8.060536 1415.31 11.7394 -1.68326 -8.56467 1208.31 it0 1ots 7392 Hard
70 9.959 22.466 -16.6533538 1321.66 6.31032 0.155543 -17.2629 1282.57 it0 1ots 4970 Hard
71 15.751 30.769 -22.684697 833.931 12.539 0.329903 -16.6432 1483.61 it0 1ots 2845 Hard
72 3.597 13.723 -25.6427515 700.611 8.10985 -4.30066 -17.6302 1079.91 it0 1ots 1993 Hard
73 5.476 14.210 -18.709382 1634.43 36.5238 1.20598 -25.9274 1069.75 it0 1ots 4287 Hard
74 3.625 14.390 -25.056811 681.085 14.1019 -3.53478 -17.162 1131.19 it0 1ots 2145 Hard
75 9.633 22.997 -12.99719894 1751.72 57.7486 -9.200494E-02 -24.2059 679.398 it0 1ots 6026 Hard
76 6.331 21.879 -15.815402 1232.08 11.1508 2.97129 -20.2193 1099.97 it0 1ots 5220 Hard
77 12.011 31.478 1.421203 1228.3 10.7513 8.73283 -9.84881 985.333 it0 1ots 9430 Hard
78 13.500 33.915 -3.716832 1452.38 19.6554 -0.680696 -9.00186 875.463 it0 1ots 8507 Hard
79 3.694 15.336 -29.627424 542.91 12.9716 -3.62064 -20.4589 1110.67 it0 1ots 890 Hard
80 16.080 32.722 -14.835175 1293.65 34.9495 1.34313 -15.3366 1412.77 it0 1ots 5509 Hard
81 10.771 24.908 -7.838084 1216.67 21.5673 -0.888127 -8.10843 1122.39 it0 1ots 7443 Hard
82 3.963 10.764 -6.807831 1384.25 47.6499 -3.21258 -8.26072 965.353 it0 1ots 7740 Hard
83 15.469 32.231 -25.48538 2147.57 9.702 -6.8399 -28.0194 1219.88 it0 1ots 2032 Hard
84 6.170 20.111 -14.326546 1585.96 18.3614 3.42134 -22.4733 1131.78 it0 1ots 5664 Hard
85 4.858 13.224 -13.342034 803.013 23.1022 -0.224226 -12.6791 869.986 it0 1ots 5925 Hard
86 15.416 40.080 -24.836118 937.103 16.3332 -2.01858 -20.2027 1214.92 it0 1ots 2196 Hard
87 5.883 21.672 -8.293216 1340.06 31.2388 0.973516 -14.3385 864.122 it0 1ots 7329 Hard
88 9.116 22.688 -4.046517 1461.62 25.7115 0.892598 -11.6006 821.183 it0 1ots 8428 Hard
89 16.190 31.997 -16.605543 2022.69 31.9847 -2.24189 -23.6856 1122.48 it0 1ots 4993 Hard
90 4.440 13.109 -17.8515006 735.816 0.94294 -2.67789 -11.665 1087.62 it0 1ots 4559 Hard
91 7.575 30.962 -8.149836 1505.12 40.3474 -1.33701 -13.9598 830.77 it0 1ots 7369 Hard
92 13.902 30.493 -31.3362755 385.762 4.17765 -0.642272 -19.047 1554.64 it0 1ots 517 Hard
93 14.463 28.898 -11.971372 1288.93 34.0058 3.01301 -19.9339 827.984 it0 1ots 6317 Hard
94 15.412 34.016 -17.318871 1512.62 23.2129 -2.8906 -17.1643 1262.23 it0 1ots 4753 Hard
95 6.003 21.415 -6.202141 1039.86 25.6759 1.06448 -7.53938 1038.26 it0 1ots 7901 Hard
96 6.993 33.347 6.511156 3066.04 38.9376 -1.48266 -17.0397 601.626 it0 1ots 9813 Hard
97 5.661 21.509 -3.440266 1606.81 32.0524 -1.93146 -4.02363 1387.38 it0 1ots 8567 Hard
98 9.306 23.048 -14.89566 2242.7 52.0276 0.635844 -28.5651 991.368 it0 1ots 5484 Hard
99 14.059 31.872 -33.402537 395.475 33.6443 -2.32583 -19.3865 1598.14 it0 1ots 238 Hard
100 7.258 17.419 -16.446058 1075.69 26.2415 -0.411423 -20.0934 696.055 it0 1ots 5031 Hard
101 15.359 33.675 -27.0711276 554.998 7.22324 -3.43004 -16.9562 1230.71 it0 1ots 1613 Hard
102 5.818 13.575 -4.787414 1102.62 32.2036 1.31525 -9.21125 823.965 it0 1ots 8253 Hard
103 5.575 24.455 -29.451816 868.726 30.6754 -3.38272 -26.3302 873.291 it0 1ots 930 Hard
104 7.519 32.213 -1.21634244 2053.47 72.4253 3.173456E-02 -13.0194 948.763 it0 1ots 9027 Hard
105 15.123 31.226 -15.877315 1106.42 73.5415 1.36397 -14.4229 1461.8 it0 1ots 5204 Hard
106 4.121 12.677 -23.3709406 811.609 9.86594 -10.0976 -13.7172 777.089 it0 1ots 2641 Hard
107 7.646 20.362 -7.50805116 2059.89 80.7086 -1.418716E-02 -20.983 791.685 it0 1ots 7553 Hard
108 3.595 13.924 -21.582637 889.389 20.4493 -3.89012 -15.5881 1120.28 it0 1ots 3187 Hard
109 7.771 22.923 -11.922881 1760.77 24.6529 -6.93241 -11.5643 1128.04 it0 1ots 6332 Hard
110 4.519 14.411 -16.633829 831.875 16.0231 -1.34791 -12.8526 1091.23 it0 1ots 4980 Hard
111 15.029 35.204 -30.817436 275.258 -14.7131 -0.844785 -18.2 1437.81 it0 1ots 625 Hard
112 4.787 29.968 -22.473552 996.891 14.1148 -2.28981 -19.8401 1045.37 it0 1ots 2916 Hard
113 7.864 28.215 -4.7579083 1071.17 2.48117 1.63455 -6.02487 1110.41 it0 1ots 8259 Hard
114 8.996 22.557 3.079085 2746.23 51.6395 3.63329 -17.9178 1061.51 it0 1ots 9593 Hard
115 14.649 31.199 -2.50204 1412.92 29.81 1.69884 -9.59916 902.902 it0 1ots 8782 Hard
116 4.534 15.756 -11.788842 1419.7 47.3688 -1.37223 -14.0267 1106.06 it0 1ots 6376 Hard
117 5.834 26.715 -22.693236 1400.99 37.0534 -3.04623 -24.9388 908.864 it0 1ots 2841 Hard
118 16.053 32.398 -16.710572 1110.09 30.9005 0.768523 -14.3203 1456.87 it0 1ots 4946 Hard
119 15.627 29.921 -25.649969 781.014 89.2052 0.491539 -19.601 1524.27 it0 1ots 1990 Hard
120 9.077 21.850 -11.8158085 976.425 8.25185 0.851943 -14.0999 841.462 it0 1ots 6366 Hard
121 4.357 12.952 -17.286806 1214.16 18.1354 -2.84486 -15.9416 1082.33 it0 1ots 4764 Hard
122 16.163 32.110 -22.532446 1472.51 16.2474 -2.87182 -23.1223 1142.59 it0 1ots 2895 Hard
123 7.575 19.863 -10.92181326 1738.81 52.642 -2.880326E-02 -21.4318 737.573 it0 1ots 6622 Hard
124 11.682 45.657 -6.351294 1057.17 18.2726 -2.11918 -6.55771 842.883 it0 1ots 7861 Hard
125 15.173 29.076 -29.005379 600.766 24.1282 -0.126921 -22.4915 1263.59 it0 1ots 1051 Hard
126 16.094 32.981 -21.180352 496.22 20.2508 1.64664 -13.2096 1478.21 it0 1ots 3341 Hard
127 15.155 34.129 -8.322185 859.274 5.9215 2.89123 -10.4827 938.267 it0 1ots 7319 Hard
128 7.445 19.319 -5.441853 2221.35 78.9682 -0.176515 -20.8855 738.302 it0 1ots 8103 Hard
129 15.176 29.242 -30.546527 476.895 19.5926 -0.120003 -22.419 1297.24 it0 1ots 684 Hard
130 11.069 25.710 -3.598547 2725.23 42.5263 1.21633 -23.6443 884.814 it0 1ots 8537 Hard
131 6.406 22.605 -20.6356878 929.717 2.26122 3.12023 -21.881 1119.47 it0 1ots 3537 Hard
132 12.104 43.774 -0.637901 1598.32 66.3519 -6.18935 -1.92822 916.705 it0 1ots 9127 Hard
133 13.936 31.728 -32.872376 594.589 51.5194 -2.28896 -21.0035 1604.1 it0 1ots 288 Hard
134 16.058 34.117 -13.0577003 525.431 2.07697 3.49356 -9.64204 1218.43 it0 1ots 6002 Hard
135 5.458 23.706 -27.392488 703.491 24.4612 -3.34889 -22.8559 846.722 it0 1ots 1526 Hard
136 7.753 24.552 -9.8418586 1371.28 3.10814 1.12768 -16.1961 851.732 it0 1ots 6921 Hard
137 9.128 20.712 -21.257368 1396.9 42.2292 -1.50071 -25.9654 818.255 it0 1ots 3309 Hard
138 7.467 21.834 -11.365668 1040.08 16.4964 0.311668 -11.6776 1056.55 it0 1ots 6500 Hard
139 15.403 39.947 -23.195439 1457.41 57.1871 -2.05241 -23.6648 1262.42 it0 1ots 2682 Hard
140 6.765 33.100 10.00573 3499.78 56.748 -1.30571 -17.9191 633.474 it0 1ots 9914 Hard
141 3.623 14.371 -28.789832 514.797 12.8178 -2.79728 -20.1455 1112.32 it0 1ots 1104 Hard
142 14.387 30.478 -7.6474472 721.047 4.87128 1.89511 -7.74564 905.61 it0 1ots 7495 Hard
143 16.129 34.178 -14.166448 1257.75 57.2582 3.87527 -14.7295 1646.23 it0 1ots 5719 Hard
144 5.514 15.190 -20.33707254 1296.84 16.37 5.216746E-02 -23.6897 983.164 it0 1ots 3662 Hard
145 11.414 23.223 5.05258 1910.01 37.885 -1.53291 -3.21274 968.072 it0 1ots 9736 Hard
146 6.390 15.445 -17.12203 1586.27 102.1 -5.91443 -15.053 1303.83 it0 1ots 4820 Hard
147 8.002 18.270 -23.782747 1913.87 62.1353 -4.4474 -28.0238 1107.16 it0 1ots 2523 Hard
