complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 4.486 9.451 22.9470045 1229.93 6.88045 1.0368 20.201 1065.89 it0 2gsk 5030 Easy
2 9.795 20.215 45.034002 3357.54 34.6722 -2.10292 28.114 1489.92 it0 2gsk 9225 Easy
3 4.815 8.384 26.217493 1510.95 65.0353 -3.45216 27.0637 1315.39 it0 2gsk 6048 Easy
4 13.223 28.834 32.34829 3027.86 125.272 1.49027 13.9798 1465.31 it0 2gsk 7509 Easy
5 5.929 11.280 23.933015 2428.85 34.7715 -10.8677 23.6334 1346.89 it0 2gsk 5364 Easy
6 3.220 6.893 19.200906 1708.06 73.6006 -11.4817 24.1278 1126.18 it0 2gsk 3730 Easy
7 13.110 28.840 39.244701 3778.04 81.2711 -5.95221 18.9474 1234.36 it0 2gsk 8645 Easy
8 14.079 30.206 27.836614 1749.54 89.8994 1.80482 21.3764 1373.9 it0 2gsk 6493 Easy
9 12.891 28.218 10.057387 1070.67 13.9387 -13.1486 28.3798 1601.99 it0 2gsk 932 Easy
10 5.965 11.381 29.851845 3325.99 28.3145 -10.9714 20.9864 1370.62 it0 2gsk 6993 Easy
11 3.523 7.999 19.4435443 1850.18 9.72443 -16.0517 32.241 1534.48 it0 2gsk 3819 Easy
12 2.132 5.379 15.3280257 1345.7 9.84257 -15.2024 31.6305 1465.55 it0 2gsk 2372 Easy
13 12.245 26.000 29.205137 2757.74 16.3047 -4.99071 18.9504 1249.5 it0 2gsk 6835 Easy
14 16.817 39.219 46.25725 4698.07 109.445 -2.2545 11.4431 1100.65 it0 2gsk 9332 Easy
15 8.631 18.360 56.996346 3752.79 46.9156 1.2426 26.0738 831.711 it0 2gsk 9810 Easy
16 14.085 30.031 30.243459 2382.13 24.9439 1.80972 18.8911 1452.81 it0 2gsk 7073 Easy
17 13.730 30.309 19.154587 2259.15 25.5637 -9.44315 17.2834 1153.28 it0 2gsk 3715 Easy
18 13.531 27.693 16.413532 1289.05 28.6922 -9.15689 24.5719 1217.89 it0 2gsk 2718 Easy
19 3.285 7.023 19.763574 1434.7 15.3744 -8.82897 25.171 1107.92 it0 2gsk 3924 Easy
