complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 7.208 24.773 -17.6005127 623.848 -5.01227 -2.53027 -10.4553 1080.33 it0 2hi7 3494 Hard
2 8.683 28.832 -14.965142 1074.93 10.8068 1.42109 -15.8905 1135.31 it0 2hi7 4383 Hard
3 10.932 28.165 -7.816093 1598.01 20.9947 -3.45746 -9.22828 1132.04 it0 2hi7 7167 Hard
4 7.176 19.385 -18.83102956 719.601 -0.977956 -2.44816 -12.2889 1128.02 it0 2hi7 3085 Hard
5 6.194 21.340 -22.7409443 1281.48 9.46007 0.878455 -23.8745 1265.43 it0 2hi7 1723 Hard
6 7.458 17.084 -9.182724 1233.2 33.8817 -0.126561 -13.1366 859.038 it0 2hi7 6690 Hard
7 9.086 38.390 -6.90913 1941.37 17.689 -6.7139 -10.5552 923.062 it0 2hi7 7534 Hard
8 11.735 39.091 -4.728669 900.756 47.5231 -4.04832 -1.49952 866.362 it0 2hi7 8195 Hard
9 11.946 23.887 -21.0028277 674.574 -1.41087 0.452941 -17.5368 1065.06 it0 2hi7 2331 Hard
10 8.194 29.008 -15.818622 896.127 10.3568 1.76234 -14.8382 1180.76 it0 2hi7 4066 Hard
11 13.092 28.994 -13.412374 992.459 4.6906 -4.49962 -5.86125 1302.3 it0 2hi7 5010 Hard
12 11.671 28.575 -5.395867 1175.83 20.4923 0.76525 -7.69074 1043.36 it0 2hi7 7986 Hard
13 5.286 11.299 -15.12186653 523.076 0.579347 1.88654 -12.5976 964.736 it0 2hi7 4317 Hard
14 9.502 33.117 6.952732 2495.73 65.3941 0.813291 -11.7855 768.63 it0 2hi7 9678 Hard
15 9.466 30.240 -24.9112533 677.038 6.30067 -3.21024 -17.7197 1081.47 it0 2hi7 1122 Hard
16 12.143 24.217 -21.1935089 845.584 3.03911 1.24486 -18.9524 1197.22 it0 2hi7 2265 Hard
17 13.120 29.064 -12.8935174 1144.12 9.94426 -4.35041 -6.99055 1309.32 it0 2hi7 5210 Hard
18 13.811 40.556 -9.90294 1815.43 19.3105 0.741455 -16.9502 1204.16 it0 2hi7 6411 Hard
19 3.635 9.450 -23.7548161 484.291 1.81339 3.12454 -21.6844 1005.6 it0 2hi7 1437 Hard
20 8.601 21.844 -7.64411 1383.16 22.533 0.38556 -14.2755 781.11 it0 2hi7 7246 Hard
21 4.304 15.800 -22.7795052 1196.04 9.86048 2.53439 -25.8303 1154.26 it0 2hi7 1704 Hard
22 7.525 15.043 -20.1224527 401.493 9.24173 1.09725 -16.3656 896.145 it0 2hi7 2618 Hard
23 12.118 24.131 -23.0584374 551.832 -5.20774 0.52612 -17.3695 1168.13 it0 2hi7 1620 Hard
24 4.223 9.640 -25.1872179 507.699 -1.22879 1.77648 -19.8035 1222.49 it0 2hi7 1045 Hard
25 6.235 26.150 -0.901765 1400.46 14.1639 -0.436814 -4.07749 1053.37 it0 2hi7 8970 Hard
26 11.565 34.208 -21.01865 1740.96 45.8361 0.402589 -28.4416 1084.76 it0 2hi7 2325 Hard
27 12.949 26.349 -14.208521 535.429 26.7096 0.135313 -13.8822 608.302 it0 2hi7 4687 Hard
28 12.083 24.067 -18.7603312 787.271 3.37648 0.406194 -15.6555 1141.75 it0 2hi7 3111 Hard
29 13.006 27.250 1.027197 970.76 10.8287 2.03155 1.17146 1199.17 it0 2hi7 9233 Hard
30 5.311 22.723 -15.32210005 1053.48 1.85754 -6.557545E-02 -15.619 1019.09 it0 2hi7 4232 Hard
