complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 18.520 81.094 -7.050138 1255.17 50.6203 -1.47902 -0.381021 1824.8 it0 2vpz 1932 Bound
2 6.323 33.653 4.277644 2724.65 70.1272 -0.385788 -6.69774 1658.66 it0 2vpz 4564 Bound
3 16.462 53.709 21.434387 2430.43 64.3622 -0.194635 8.5701 1188.9 it0 2vpz 8506 Bound
4 18.066 77.860 9.153308 1954.19 27.8685 4.26059 -0.340567 1458.73 it0 2vpz 5932 Bound
5 18.877 81.272 -2.786368 2079 43.1682 -1.13848 -7.89917 1497.04 it0 2vpz 2714 Bound
6 14.226 54.714 14.664729 3183.83 37.3299 -1.61161 -2.83236 1310.29 it0 2vpz 7289 Bound
7 8.813 32.259 23.485139 3807.94 79.8758 0.632151 1.00813 1703.33 it0 2vpz 8771 Bound
8 5.246 24.860 3.0779012 1666.62 6.17412 -2.83396 2.28242 1309.85 it0 2vpz 4275 Bound
9 5.072 25.827 2.606922 1422.64 41.6842 -2.22064 2.83122 1264.69 it0 2vpz 4139 Bound
10 16.993 61.168 10.260693 3069.66 52.5533 -2.19039 -4.55545 1421.56 it0 2vpz 6239 Bound
11 14.013 57.005 12.28402 2455.64 106.175 -1.33403 4.1191 1611.92 it0 2vpz 6723 Bound
12 3.069 25.765 -9.791857 1144 12.4163 -8.35652 6.2344 1923.39 it0 2vpz 1523 Bound
13 9.985 51.394 13.534968 3069.54 29.4428 -1.49484 -3.64342 1231.66 it0 2vpz 7015 Bound
14 14.201 54.125 5.340663 2161.8 31.5113 -1.54943 -1.46502 1357.8 it0 2vpz 4850 Bound
15 8.364 28.750 22.63167 3694.36 55.59 -3.12975 -3.31023 842.785 it0 2vpz 8679 Bound
16 2.716 21.456 -14.973195 528.455 -18.0735 -5.61839 2.90548 1736.41 it0 2vpz 926 Bound
17 5.424 22.715 7.576263 1924.24 48.1773 -2.3261 3.37419 1319.6 it0 2vpz 5495 Bound
18 0.504 4.127 -26.478747 222.945 -50.6267 -11.9779 4.56967 2079.37 it0 2vpz 687 Bound
19 14.056 56.950 5.679687 1264.31 58.035 -0.588783 8.49972 1545.47 it0 2vpz 4946 Bound
20 6.325 34.737 15.941831 3578.61 107.876 -0.617029 -2.7019 1760.41 it0 2vpz 7566 Bound
21 9.147 46.474 15.049839 1484.62 80.4299 11.6446 7.69574 1994.1 it0 2vpz 7355 Bound
22 14.262 57.735 -9.8451283 1479.82 9.23817 -0.94604 -8.07777 1571.19 it0 2vpz 1515 Bound
23 6.922 31.032 1.841191 1282.75 72.865 -0.896739 3.89818 1471.64 it0 2vpz 3912 Bound
24 17.815 75.339 7.133461 1309.27 13.9451 5.36091 2.5054 1396.5 it0 2vpz 5382 Bound
25 10.189 45.119 4.32889 3091.11 26.426 -5.19133 -7.39034 1426.48 it0 2vpz 4577 Bound
26 15.296 55.191 13.604058 1972.84 33.8318 -4.21986 11.442 1368.48 it0 2vpz 7031 Bound
27 2.584 14.694 -3.964322 580.851 33.9518 -6.36285 12.6454 1639.49 it0 2vpz 2464 Bound
28 14.270 54.466 -1.38712442 1250.84 16.4159 -1.18455 7.006658E-02 1294.52 it0 2vpz 3024 Bound
29 16.292 78.660 5.672948 2177.69 42.1308 -5.53969 1.60343 1258.9 it0 2vpz 4945 Bound
30 3.055 25.313 -14.772019 577.523 -1.1429 -7.7465 6.00038 1878.97 it0 2vpz 939 Bound
31 13.999 55.422 -10.036302 2055.93 15.9988 -3.99893 -9.83836 1691.83 it0 2vpz 1482 Bound
32 14.840 63.145 -9.27254 1858.08 216.718 -4.75264 -9.34748 1592.04 it0 2vpz 1595 Bound
33 5.767 28.856 12.69276 2050.45 38.255 -5.02305 7.00486 1017.61 it0 2vpz 6824 Bound
34 8.024 40.150 21.78338 3072.94 127.554 2.37883 3.81571 1641.61 it0 2vpz 8557 Bound
35 14.258 57.921 -7.610617 1574.17 -16.6017 -1.51118 -6.94202 1473.31 it0 2vpz 1832 Bound
36 13.993 55.538 -2.282229 2706.57 29.6051 -3.99527 -7.70061 1794.81 it0 2vpz 2808 Bound
37 2.762 21.901 -13.4759472 430.434 -8.53172 -5.86797 6.3696 1819.66 it0 2vpz 1036 Bound
38 14.931 66.443 1.838336 1816.42 80.3306 -8.19661 3.57304 1250.56 it0 2vpz 3911 Bound
39 13.880 64.192 7.068017 2856.62 67.9517 -5.81587 -0.66803 1569.38 it0 2vpz 5362 Bound
40 7.502 40.012 20.426449 2615.16 57.0323 4.35388 0.684146 1133.35 it0 2vpz 8368 Bound
41 5.167 15.324 36.577052 3423.37 79.7812 2.32648 7.57216 835.31 it0 2vpz 9658 Bound
42 0.681 5.370 -28.651313 189.875 -46.6503 -11.6023 1.11964 1960.09 it0 2vpz 520 Bound
43 16.459 69.011 21.818827 2387.12 11.1171 -0.224494 9.58845 1152.75 it0 2vpz 8564 Bound
44 17.554 77.354 -12.63588 2102.2 66.782 -9.32848 -3.88552 2111.17 it0 2vpz 1131 Bound
45 2.762 21.831 -12.44040054 755.987 -0.406054 -6.02964 3.65893 1762.55 it0 2vpz 1159 Bound
46 8.739 36.549 16.527501 3232.88 79.1151 -2.91922 1.66077 1533.4 it0 2vpz 7698 Bound
47 9.191 43.789 10.027935 1948.71 15.4002 0.494553 7.59248 1770.02 it0 2vpz 6166 Bound
