complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 3.147 6.887 -71.319553 292.837 12.9177 -0.3629 -59.3286 1468.56 it0 2zxe-AB 419 Easy
2 4.841 9.998 -46.30801 1977.63 87.0261 0.101129 -53.625 1343.07 it0 2zxe-AB 4166 Easy
3 10.195 21.654 -19.398834 1924.85 45.4146 -1.97318 -25.8305 1129.78 it0 2zxe-AB 7275 Easy
4 14.845 28.102 -64.609424 586.214 11.1241 0.404795 -57.5875 1340.01 it0 2zxe-AB 902 Easy
5 6.590 13.886 -48.78316 1298.98 40.137 -1.98013 -46.4462 1374.8 it0 2zxe-AB 3719 Easy
6 14.216 26.367 -51.575429 1350.51 48.6161 3.45661 -54.7577 1426.56 it0 2zxe-AB 3175 Easy
7 10.084 21.412 -13.644124 2615.49 78.9836 -2.27126 -26.8671 1145.05 it0 2zxe-AB 7708 Easy
8 11.923 23.085 -38.752438 3125.11 44.3896 -0.444634 -55.7825 1422.03 it0 2zxe-AB 5374 Easy
9 14.269 25.942 -54.268826 678.455 37.4232 -0.386308 -48.2556 1278.57 it0 2zxe-AB 2749 Easy
10 4.989 10.786 -45.441286 1400.76 54.3294 -2.44818 -43.4241 1411.99 it0 2zxe-AB 4340 Easy
11 7.424 16.758 -36.234993 2092.83 62.6309 0.178588 -48.3687 959.949 it0 2zxe-AB 5681 Easy
12 39.166 89.360 337.473014 35982.4 89.0804 -3.71405 -9.81822 970.952 it0 2zxe-AB 9423 Easy
13 10.139 21.270 -9.254514 2293.59 34.2679 -0.632303 -22.8016 909.919 it0 2zxe-AB 8008 Easy
14 9.220 20.264 -26.322513 3434.92 88.7157 -1.08207 -48.0388 1243.8 it0 2zxe-AB 6687 Easy
15 7.296 15.566 -23.233934 1563.07 35.6632 -0.913966 -26.6698 1163.75 it0 2zxe-AB 6962 Easy
16 14.750 28.996 -31.382249 2370.3 63.4509 0.304742 -44.5243 1150.02 it0 2zxe-AB 6207 Easy
17 41.024 99.208 377.78471 40351.5 294.408 2.48563 -20.3493 1081.07 it0 2zxe-AB 9550 Easy
18 43.915 104.891 387.1923 43019.8 148.226 -1.00796 -31.0837 1239.63 it0 2zxe-AB 9589 Easy
19 14.670 27.854 -59.1285314 489.639 5.40756 0.479503 -51.4813 1307.72 it0 2zxe-AB 1825 Easy
20 3.242 7.052 -69.453629 620.618 44.95 -0.772309 -59.4998 1583.72 it0 2zxe-AB 590 Easy
21 11.901 23.078 -41.598854 2774.92 62.0606 -0.55736 -54.6778 1473.35 it0 2zxe-AB 4990 Easy
22 3.318 7.254 -73.822121 696.184 48.3125 -0.997986 -64.4489 1582.02 it0 2zxe-AB 154 Easy
23 5.339 11.188 -49.044661 1429.09 41.4498 0.336341 -50.2195 1386.69 it0 2zxe-AB 3670 Easy
24 7.745 18.300 -18.700875 2411.51 34.2485 -1.73051 -31.7056 972.235 it0 2zxe-AB 7329 Easy
25 14.742 27.292 -53.153956 658.357 36.4724 -1.12825 -44.6475 1432.65 it0 2zxe-AB 2929 Easy
26 3.619 8.094 -72.844841 916.49 36.6636 -0.389777 -68.1642 1382.24 it0 2zxe-AB 242 Easy
27 14.269 25.945 -56.62884 507.688 33.8164 -0.517084 -48.6879 1283.89 it0 2zxe-AB 2346 Easy
28 1.779 3.551 -48.48342 1211.37 127.291 1.11087 -50.4677 1251.32 it0 2zxe-AB 3767 Easy
29 3.218 7.007 -76.066063 389.23 27.0307 -1.45657 -63.1678 1560.43 it0 2zxe-AB 29 Easy
30 12.861 24.041 -29.388971 2930.69 72.2823 -0.809294 -44.8406 1376.88 it0 2zxe-AB 6406 Easy
31 14.203 26.524 -44.441401 839.225 28.1499 -1.68365 -39.8769 1155.46 it0 2zxe-AB 4523 Easy
32 14.231 25.879 -53.948266 1116.99 56.2164 -1.54413 -51.1199 1301.63 it0 2zxe-AB 2799 Easy
33 13.609 25.573 -51.22899584 1722.88 18.4371 -2.036684E-02 -51.9683 1665.35 it0 2zxe-AB 3242 Easy
34 14.708 28.372 -49.664085 1149.76 99.2846 -0.573531 -50.9044 1067.66 it0 2zxe-AB 3550 Easy
35 4.715 10.436 -38.841464 976.041 39.7406 1.90932 -40.0618 1084.68 it0 2zxe-AB 5363 Easy
36 15.356 31.413 1.634505 4049.15 67.7361 -0.750756 -28.0021 1078.15 it0 2zxe-AB 8580 Easy
37 14.780 28.003 -64.0825689 707.158 9.88621 0.393489 -58.6918 1295.47 it0 2zxe-AB 966 Easy
38 13.499 27.018 -8.952027 3499.3 100.286 -0.119587 -34.4537 1037.46 it0 2zxe-AB 8034 Easy
39 3.261 7.118 -74.856104 581.708 41.0622 -0.983606 -64.2027 1589.75 it0 2zxe-AB 71 Easy
40 14.269 26.773 -43.999476 1369.9 53.7624 -1.8275 -43.9681 1244.05 it0 2zxe-AB 4612 Easy
41 8.820 17.781 -36.13792 2982.52 71.8649 -0.208769 -53.1239 1334.91 it0 2zxe-AB 5696 Easy
42 3.480 7.711 -72.21943 407.465 28.6914 -0.931094 -60.8857 1476.42 it0 2zxe-AB 308 Easy
43 7.868 18.261 -39.43032 1578.64 38.7121 -0.193341 -43.9221 1148.84 it0 2zxe-AB 5283 Easy
44 14.303 25.990 -62.794406 1107.05 20.5553 0.449641 -59.5866 1493.35 it0 2zxe-AB 1151 Easy
45 14.258 25.909 -57.49798495 670.693 45.0703 2.778205E-02 -51.518 1316.54 it0 2zxe-AB 2182 Easy
46 7.785 17.559 -37.7369 2193.96 38.5369 -0.159119 -50.3071 959.565 it0 2zxe-AB 5506 Easy
47 14.297 25.740 -56.614461 748.824 24.8116 0.914583 -51.9524 1331.3 it0 2zxe-AB 2347 Easy
48 6.102 14.132 -48.75619047 1729.78 51.0912 -1.090247E-02 -54.7481 1180.59 it0 2zxe-AB 3726 Easy
49 14.020 27.029 -29.728517 2285.79 21.6153 1.90803 -41.085 1362.56 it0 2zxe-AB 6380 Easy
50 14.514 26.559 -44.401067 1063.11 33.7023 -1.34199 -40.8654 1316.18 it0 2zxe-AB 4529 Easy
51 14.187 25.815 -50.697418 560.915 21.9852 1.11738 -44.4711 1317.27 it0 2zxe-AB 3347 Easy
52 14.766 27.653 -38.577342 1527.45 56.3158 -4.0739 -37.5344 1280.67 it0 2zxe-AB 5402 Easy
53 46.382 109.462 421.642586 43921.3 70.3056 -6.39499 -2.35182 952.666 it0 2zxe-AB 9768 Easy
54 14.321 26.142 -69.555031 431.378 52.6719 -2.48473 -58.148 1376.28 it0 2zxe-AB 582 Easy
55 14.192 25.815 -49.75305 714.491 35.878 1.23266 -45.1327 1335.67 it0 2zxe-AB 3530 Easy
56 5.917 12.689 -32.930839 1371.54 20.3641 -1.89453 -35.1488 980.655 it0 2zxe-AB 6050 Easy
57 14.244 25.891 -54.150346 665.774 39.7142 0.178372 -48.0252 1335.84 it0 2zxe-AB 2773 Easy
58 2.561 5.307 -53.123152 1252.78 33.4558 -1.89221 -48.8192 1527.41 it0 2zxe-AB 2933 Easy
59 7.807 17.929 -15.086311 3737.58 138.72 -0.325611 -41.4513 1207.24 it0 2zxe-AB 7616 Easy
60 4.374 9.582 -75.805965 433.68 22.8111 -0.336576 -64.6372 1539.71 it0 2zxe-AB 36 Easy
61 5.751 12.189 -32.90197153 2062.81 42.5266 4.006247E-02 -43.0477 1094.77 it0 2zxe-AB 6051 Easy
62 13.492 28.286 -1.740766 4880.52 67.0036 -0.159712 -42.0525 900.379 it0 2zxe-AB 8435 Easy
63 12.980 28.502 -1.564166 4300.66 46.4209 -0.104675 -33.9704 1095.99 it0 2zxe-AB 8445 Easy
64 9.589 19.112 -21.82227529 4130.54 103.614 -3.671529E-02 -53.1137 1101.34 it0 2zxe-AB 7081 Easy
65 12.789 24.889 -32.179622 1749.4 68.3718 1.11836 -39.2375 1223.82 it0 2zxe-AB 6123 Easy
66 11.093 22.867 2.977836 3058.2 117.484 0.341846 -21.4902 763.065 it0 2zxe-AB 8632 Easy
67 15.186 29.546 -32.53043 1773.76 70.5242 -0.201172 -39.4604 1131.17 it0 2zxe-AB 6082 Easy
68 14.810 30.474 25.927009 5587.34 108.812 -0.980651 -22.8288 722.506 it0 2zxe-AB 9118 Easy
69 14.091 28.061 -6.370848 3096.05 87.8442 1.69281 -29.2174 1068.52 it0 2zxe-AB 8176 Easy
70 11.736 24.081 14.1004585 4896.99 86.6072 -3.47135E-02 -28.6925 700.83 it0 2zxe-AB 8966 Easy
71 3.641 7.922 -57.280877 1039.47 39.1717 -0.999594 -54.1309 1293.68 it0 2zxe-AB 2228 Easy
72 32.451 75.655 290.97054607 33603.9 147.874 -3.229393E-02 -31.7741 1474.08 it0 2zxe-AB 9354 Easy
73 14.296 26.075 -70.151931 806.544 96.5899 -2.47067 -62.3302 1438.24 it0 2zxe-AB 533 Easy
