complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 8.057 19.218 -11.934298 1266.39 15.9358 -0.709946 -16.5149 753.271 it0 2zxe-AG 5384 Easy
2 20.568 52.737 139.580377 16845.7 88.4247 2.63973 -21.8899 1051.07 it0 2zxe-AG 7679 Easy
3 13.007 30.297 18.135718 3200.09 50.5584 -5.9125 -0.612186 784.608 it0 2zxe-AG 7259 Easy
4 5.547 12.731 -36.985249 542.188 17.0511 -7.97994 -23.309 1128.87 it0 2zxe-AG 1396 Easy
5 5.277 11.239 -38.344943 957.037 14.5517 5.82607 -41.3038 1258.31 it0 2zxe-AG 1166 Easy
6 17.359 48.354 144.039063 18133 99.5383 1.24008 -29.2737 1025.27 it0 2zxe-AG 7692 Easy
7 15.323 31.695 -5.306484 3064.59 75.9982 0.204214 -29.4656 745.098 it0 2zxe-AG 6099 Easy
8 31.487 72.565 269.85042 29469.1 65.504 -2.70382 -8.0775 1471.43 it0 2zxe-AG 7816 Easy
9 5.728 12.554 -3.447017 1789.31 62.3153 4.16104 -18.3024 782.191 it0 2zxe-AG 6233 Easy
10 13.763 31.440 38.019757 4804.89 39.3267 1.18192 -5.83597 576.836 it0 2zxe-AG 7530 Easy
11 2.745 6.281 -25.26534 1198.01 40.3094 -0.344294 -28.3694 893.484 it0 2zxe-AG 3401 Easy
12 36.555 84.920 307.691283 34625 82.3313 2.16237 -28.9376 1260.68 it0 2zxe-AG 8110 Easy
13 13.217 24.775 -49.82608803 336.065 -0.105503 0.127317 -41.7431 1156.99 it0 2zxe-AG 389 Easy
14 19.846 50.441 136.606097 17770.1 70.4917 8.19308 -32.9502 1704.27 it0 2zxe-AG 7672 Easy
15 5.721 12.270 -9.455365 2468.03 50.002 0.164215 -25.7122 908.77 it0 2zxe-AG 5678 Easy
16 38.107 88.166 365.21659 38347.1 81.839 4.2489 -11.5795 1174.22 it0 2zxe-AG 9395 Easy
17 14.978 29.368 -21.374378 1327.73 28.0562 2.14356 -26.8713 1020.45 it0 2zxe-AG 4017 Easy
18 13.083 24.451 -37.82726 480.886 26.7982 -0.526842 -32.675 970.226 it0 2zxe-AG 1235 Easy
19 7.608 17.070 -14.220613 1707.91 26.3857 1.74334 -25.4983 780.861 it0 2zxe-AG 5075 Easy
20 1.729 4.093 -43.411091 434.739 19.5979 -1.76646 -34.021 1216.7 it0 2zxe-AG 752 Easy
21 5.452 12.539 -36.154282 866.952 25.2388 -8.36369 -25.1867 1152.58 it0 2zxe-AG 1539 Easy
22 37.601 86.330 342.799385 37253.1 99.6205 1.00558 -19.7299 1200.35 it0 2zxe-AG 8831 Easy
23 11.222 21.465 -2.596033 2026.15 115.191 -0.787263 -16.1891 703.308 it0 2zxe-AG 6291 Easy
24 11.878 26.643 5.90286247 2225.98 37.8888 9.696447E-02 -11.4273 540.549 it0 2zxe-AG 6798 Easy
25 12.850 23.592 -29.460714 628.348 33.4558 -0.458752 -26.0916 952.84 it0 2zxe-AG 2654 Easy
26 12.810 29.840 1.455825 1646.95 24.1615 -4.01392 -3.66802 757.335 it0 2zxe-AG 6541 Easy
27 6.441 14.138 -2.878006 1799.21 25.8374 4.3373 -18.8886 657.718 it0 2zxe-AG 6273 Easy
28 12.724 23.422 -13.000712 1332.75 26.0248 2.11245 -19.4341 926.681 it0 2zxe-AG 5234 Easy
29 2.340 4.824 -55.267326 376.97 -13.1206 -2.76062 -42.0534 1409.18 it0 2zxe-AG 218 Easy
30 12.695 22.692 -14.455696 629.001 13.0056 0.123708 -12.679 832.047 it0 2zxe-AG 5039 Easy
31 8.361 18.837 -11.667328 1736.43 61.7902 -1.46617 -20.7253 745.806 it0 2zxe-AG 5410 Easy
32 12.898 23.329 -15.845087 891.49 78.5916 -0.528293 -15.0642 995.341 it0 2zxe-AG 4842 Easy
33 4.459 10.123 -30.280877 348.749 11.2473 -3.77394 -19.7661 1034.08 it0 2zxe-AG 2526 Easy
34 8.284 18.372 -23.059911 843.217 30.8259 -8.15173 -16.85 679.861 it0 2zxe-AG 3744 Easy
35 36.674 84.477 329.690682 35105.9 122.743 -0.495948 -10.386 1171.38 it0 2zxe-AG 8517 Easy
36 8.071 19.216 -17.887758 1337.26 47.0316 -0.848744 -21.8374 904.453 it0 2zxe-AG 4550 Easy
37 36.796 84.472 339.828262 36114.2 81.8732 -1.71814 -8.06383 1235.05 it0 2zxe-AG 8750 Easy
38 7.608 16.125 -25.06844934 1769.07 49.7498 3.383266E-02 -33.9571 933.338 it0 2zxe-AG 3429 Easy
39 5.513 12.675 -35.150733 1017.58 31.6487 -6.92402 -27.1709 1154.81 it0 2zxe-AG 1717 Easy
40 6.564 14.768 -13.887227 1863.91 60.4167 -0.320724 -24.3031 850.667 it0 2zxe-AG 5126 Easy
41 6.358 15.105 -16.090366 2170.61 61.4274 -2.12277 -26.7037 958.427 it0 2zxe-AG 4802 Easy
42 36.353 83.410 356.855344 37292.4 145.268 0.563154 -3.37919 1470.53 it0 2zxe-AG 9170 Easy
43 5.859 11.728 -31.41616 1718.17 44.8557 -0.227317 -39.3957 942.34 it0 2zxe-AG 2335 Easy
44 12.889 25.975 -28.416964 1769.12 50.9026 -1.71709 -34.4751 1042.5 it0 2zxe-AG 2850 Easy
45 11.846 22.140 -49.6452179 1226.23 59.7452 6.31301E-02 -49.6619 1290.62 it0 2zxe-AG 395 Easy
46 37.742 86.867 328.841093 35706.7 51.0199 -0.795406 -15.028 1291.27 it0 2zxe-AG 8491 Easy
47 7.447 15.680 -63.768285 1244.82 18.8755 -3.81984 -59.4829 1310.25 it0 2zxe-AG 4 Easy
48 4.694 10.285 -5.893085 1799.69 39.7625 2.17317 -19.0926 736.818 it0 2zxe-AG 6043 Easy
49 10.338 20.845 -37.668737 1466.3 14.0673 -3.15771 -38.7645 1055.02 it0 2zxe-AG 1264 Easy
50 8.098 18.990 -21.51037345 1875.57 27.8142 6.440455E-02 -31.0369 957.172 it0 2zxe-AG 3993 Easy
51 6.650 14.661 2.014318 2242.69 28.4538 3.81145 -17.9855 652.307 it0 2zxe-AG 6576 Easy
52 38.283 87.515 382.174569 41057.7 50.3061 -0.874692 -16.252 1177.88 it0 2zxe-AG 9716 Easy
53 37.239 85.718 340.843296 36807.1 63.2826 -1.22363 -14.4936 1214.33 it0 2zxe-AG 8774 Easy
54 2.813 6.008 -38.3830163 320.597 8.98337 -1.29702 -29.4648 1091.7 it0 2zxe-AG 1162 Easy
55 13.301 24.708 -48.082067 608.103 20.3281 0.155022 -43.3056 1121.58 it0 2zxe-AG 473 Easy
56 6.322 14.417 -31.117455 593.155 19.6855 -2.22179 -25.2098 981.427 it0 2zxe-AG 2388 Easy
57 19.786 48.813 111.623843 15046.5 54.8477 0.889366 -25.5261 1475.29 it0 2zxe-AG 7616 Easy
58 12.406 22.190 -25.252023 684.738 22.3227 4.07517 -25.3979 1099.99 it0 2zxe-AG 3404 Easy
59 3.627 8.579 -48.829159 777.562 31.5347 0.102774 -44.5272 1249.57 it0 2zxe-AG 437 Easy
60 5.737 13.123 -31.757465 1654.92 32.3475 2.02636 -39.3507 1130.58 it0 2zxe-AG 2280 Easy
61 2.239 5.316 -43.3753614 335.456 5.66786 -2.0953 -33.2918 1139.95 it0 2zxe-AG 756 Easy
62 2.381 4.923 -56.0740285 459.841 -4.14585 -2.80608 -43.5983 1422.66 it0 2zxe-AG 164 Easy
