complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 0.256 0.962 -50.408511 140.765 -62.5661 -12.2426 -19.5287 1941.92 it0 4huq-TM-A 1253 Bound
2 13.758 49.057 -11.167447 1783.96 56.6133 2.77102 -18.7445 1359.97 it0 4huq-TM-A 2518 Bound
3 6.273 28.002 -6.800765 2083.84 52.2515 -3.79628 -14.045 1032.04 it0 4huq-TM-A 3096 Bound
4 13.756 36.558 4.002215 2133.83 66.5055 -3.44037 -7.59523 696.554 it0 4huq-TM-A 5570 Bound
5 9.129 41.018 38.095512 4166.51 69.0292 -3.97178 10.1659 1045.4 it0 4huq-TM-A 9178 Bound
6 14.810 51.262 30.104069 5433.58 85.9579 3.92669 -18.164 1085.4 it0 4huq-TM-A 8742 Bound
7 0.301 1.254 -55.31984 191.479 -55.503 -11.9101 -24.6794 2009.01 it0 4huq-TM-A 83 Bound
8 5.332 22.775 -17.784979 1525.32 40.0521 -5.4189 -12.0502 1596.96 it0 4huq-TM-A 1870 Bound
9 13.888 44.393 0.469281 2302.48 41.9891 -3.14564 -5.78087 1404.89 it0 4huq-TM-A 4732 Bound
10 13.939 35.545 8.484577 2162.64 45.8497 7.27212 -8.70734 1216.51 it0 4huq-TM-A 6365 Bound
11 4.533 20.313 -8.175201 1963.45 79.4869 -2.81257 -11.9008 1389.12 it0 4huq-TM-A 2873 Bound
12 0.297 1.126 -52.958834 138.709 -57.9924 -11.8684 -22.231 1966.66 it0 4huq-TM-A 559 Bound
13 8.473 38.190 39.971066 4528.69 59.3536 -3.56771 4.71697 705.863 it0 4huq-TM-A 9269 Bound
14 9.109 40.929 45.337845 4561.6 71.9915 -3.64536 12.5 985.271 it0 4huq-TM-A 9516 Bound
15 13.567 55.158 7.973987 3340.5 53.4267 -6.22813 -6.40375 1333.34 it0 4huq-TM-A 6287 Bound
16 13.566 43.908 -15.735531 1285.74 42.1329 2.16044 -18.2183 1295.64 it0 4huq-TM-A 2078 Bound
17 9.296 29.719 0.632214 1398.9 19.8374 6.7776 -4.73356 1559.92 it0 4huq-TM-A 4783 Bound
18 3.909 16.006 0.378463 2243.92 54.9853 3.51041 -12.3367 1378.43 it0 4huq-TM-A 4703 Bound
19 14.316 35.323 4.355457 1845.39 24.5437 4.7639 -6.92038 1218.74 it0 4huq-TM-A 5645 Bound
20 9.461 30.129 3.699432 1883.68 39.4742 6.57337 -6.11668 1598.88 it0 4huq-TM-A 5495 Bound
21 5.300 24.208 -13.534042 1626.91 77.0278 -8.0055 -9.16492 1340.3 it0 4huq-TM-A 2280 Bound
22 8.515 32.525 32.82488 3328.73 107.434 1.38681 6.25337 917.694 it0 4huq-TM-A 8895 Bound
23 8.723 43.871 21.59978 3652.23 59.318 1.35337 -7.02788 984.119 it0 4huq-TM-A 8088 Bound
24 0.271 0.890 -49.465383 251.182 -53.2703 -12.0933 -19.8241 1952.71 it0 4huq-TM-A 1396 Bound
25 14.498 36.886 1.63444 2316.05 104.073 2.68851 -10.8124 1444.29 it0 4huq-TM-A 5013 Bound
26 14.161 58.431 -0.54576 2273.05 113.909 -6.67787 -5.21688 1252.06 it0 4huq-TM-A 4454 Bound
27 0.383 1.858 -51.889239 202.126 -48.2399 -12.3915 -21.7089 1932.77 it0 4huq-TM-A 893 Bound
28 12.704 41.616 10.502704 2838.97 80.4194 -1.14659 -7.63296 991.164 it0 4huq-TM-A 6675 Bound
29 13.103 50.779 24.240051 2535.58 23.1151 3.46284 1.94408 675.382 it0 4huq-TM-A 8326 Bound
30 9.120 40.990 39.117296 4024.03 66.3586 -3.95059 12.474 1031 it0 4huq-TM-A 9223 Bound
31 7.647 37.701 27.48823 3371.6 158.485 -6.94939 6.72828 759.151 it0 4huq-TM-A 8582 Bound
32 5.359 24.492 -23.25669 1473.46 135.17 -8.91249 -16.1717 1425.88 it0 4huq-TM-A 1622 Bound
33 9.107 40.953 43.987241 4287.84 45.3241 -4.0189 14.789 1011.45 it0 4huq-TM-A 9458 Bound
34 14.505 36.828 -3.166516 1841.02 92.3774 2.64971 -10.9432 1420.7 it0 4huq-TM-A 3818 Bound
35 14.523 36.031 -0.619061 2081.13 48.0059 -2.86403 -8.18049 1086.59 it0 4huq-TM-A 4434 Bound
36 11.137 35.134 0.569857 2009.97 39.2147 -2.40536 -3.00653 1451.01 it0 4huq-TM-A 4768 Bound
37 0.290 1.110 -52.847683 205.197 -60.5253 -12.1557 -21.7158 2042.29 it0 4huq-TM-A 593 Bound
38 15.330 51.545 46.816902 5553.65 116.434 -2.87978 -0.541468 646.269 it0 4huq-TM-A 9579 Bound
39 7.150 26.504 -0.170993 2156.59 46.9687 -2.29007 -9.17861 1073.79 it0 4huq-TM-A 4541 Bound
40 5.143 14.889 -11.20902 1422.23 62.7205 -0.274525 -13.9289 1185.51 it0 4huq-TM-A 2515 Bound
41 14.270 36.068 10.770749 2233.02 44.0409 4.90509 -6.85695 1004.8 it0 4huq-TM-A 6726 Bound
42 9.014 29.409 1.914942 1159.45 14.7072 8.66979 -1.80902 1668.74 it0 4huq-TM-A 5093 Bound
43 7.075 37.144 33.71695 3819.15 208.068 -2.98724 6.77481 1034.28 it0 4huq-TM-A 8934 Bound
44 14.489 36.724 2.77207 2620.56 103.819 2.70458 -13.1371 1403.92 it0 4huq-TM-A 5282 Bound
45 12.256 35.474 1.86247 1759.29 119.479 4.74806 -7.54588 1412.74 it0 4huq-TM-A 5082 Bound
46 9.092 40.857 44.050287 4184.09 62.8237 -3.27666 14.8191 996.129 it0 4huq-TM-A 9462 Bound
47 13.181 37.363 -7.4207912 1415.52 8.97488 -3.08662 -5.71622 1286.29 it0 4huq-TM-A 2989 Bound
48 13.976 35.762 11.787189 2582.37 57.9569 7.19566 -9.66034 1215.14 it0 4huq-TM-A 6906 Bound
49 0.274 0.927 -52.336308 255.26 -51.3208 -12.3019 -22.4749 1959.89 it0 4huq-TM-A 755 Bound
50 0.314 1.058 -50.525492 248.024 -41.9032 -12.3017 -20.4629 1982.21 it0 4huq-TM-A 1230 Bound
51 7.075 27.372 -9.399912 1328.52 24.2578 -3.5482 -7.76229 1161.72 it0 4huq-TM-A 2696 Bound
52 13.932 35.606 7.763847 1896.55 45.5777 7.38896 -6.92639 1212 it0 4huq-TM-A 6260 Bound
53 6.669 36.265 13.242702 2387.11 60.3456 0.184408 -0.888662 1052.76 it0 4huq-TM-A 7113 Bound
54 13.972 50.429 16.01303 3378.26 114.805 1.82558 -8.6561 1208.71 it0 4huq-TM-A 7484 Bound
55 3.751 21.308 -4.572335 1943.53 73.9635 -10.0443 -2.29417 1240.88 it0 4huq-TM-A 3491 Bound
56 14.703 54.589 20.549139 3183.19 55.7848 0.955651 1.12774 1392.4 it0 4huq-TM-A 7992 Bound
57 13.452 42.160 1.967785 2151.34 65.6435 -2.96448 -4.40857 1282.9 it0 4huq-TM-A 5112 Bound
58 0.257 0.851 -54.766972 190.866 -60.4232 -12.007 -24.5582 1950.62 it0 4huq-TM-A 147 Bound
59 9.333 29.865 1.946656 1433.96 35.5256 6.66005 -3.32585 1608.24 it0 4huq-TM-A 5102 Bound
60 14.744 55.014 -16.51586 1855.09 183.227 -8.35183 -14.6139 1393.33 it0 4huq-TM-A 1978 Bound
61 4.677 20.691 -24.163165 547.866 22.2255 -2.16898 -11.3326 1636.25 it0 4huq-TM-A 1599 Bound
62 7.077 26.908 2.553259 2353.69 38.9849 -3.04973 -7.42946 1089.43 it0 4huq-TM-A 5231 Bound
63 11.903 35.760 26.318005 3349.19 77.8975 6.32385 -1.10782 1316.89 it0 4huq-TM-A 8493 Bound
64 14.695 54.620 21.466951 3321.08 58.3879 0.590335 0.551437 1346.95 it0 4huq-TM-A 8074 Bound
65 13.801 35.685 2.180539 1459.08 23.3709 7.7404 -8.65037 1173.4 it0 4huq-TM-A 5156 Bound
66 8.030 36.939 13.585395 3047.32 64.0165 -15.7719 5.95521 771.128 it0 4huq-TM-A 7172 Bound
67 13.741 35.026 8.741475 1910.22 19.3535 8.18762 -6.48588 1225.6 it0 4huq-TM-A 6401 Bound
68 14.541 36.667 -3.623579 1882.86 59.4071 2.61125 -11.8147 1384.28 it0 4huq-TM-A 3702 Bound
69 5.456 21.862 2.129757 1382.34 32.6297 -2.99029 2.52725 1155.69 it0 4huq-TM-A 5145 Bound
70 9.038 29.566 0.389599 1288.78 13.8309 8.24141 -3.45312 1742.48 it0 4huq-TM-A 4709 Bound
71 3.534 16.528 -9.155994 1496.11 36.1386 1.25222 -13.7395 1199.12 it0 4huq-TM-A 2734 Bound
72 14.915 54.118 6.808394 3164.04 36.8334 -5.15854 -7.2803 1276.15 it0 4huq-TM-A 6103 Bound
73 9.064 40.658 53.756724 5440.79 96.0994 -3.56547 12.0868 1013.35 it0 4huq-TM-A 9818 Bound
74 0.276 0.763 -54.720863 250.764 -46.3603 -12.0572 -25.3507 1935.7 it0 4huq-TM-A 154 Bound
75 9.544 23.741 28.329894 3342.64 272.6 0.713164 1.22555 976.122 it0 4huq-TM-A 8637 Bound
76 9.099 40.899 56.753777 5564.17 90.3527 -3.86745 14.1992 1012.32 it0 4huq-TM-A 9897 Bound
77 8.057 36.910 25.854108 4181.38 90.5638 -16.5284 7.86393 820.086 it0 4huq-TM-A 8459 Bound
78 13.743 49.035 -5.354545 2269.24 60.6875 3.54658 -18.1 1410.04 it0 4huq-TM-A 3336 Bound
79 13.307 53.619 18.076429 3282.06 41.4154 -1.07578 -0.858545 1322.4 it0 4huq-TM-A 7748 Bound
80 4.599 20.517 -16.162809 1731.53 59.3221 -2.78313 -14.9686 1631.96 it0 4huq-TM-A 2023 Bound
81 3.881 15.236 -3.988634 1899.42 42.6356 -12.569 0.65681 1149.7 it0 4huq-TM-A 3621 Bound
82 14.542 41.568 4.105755 2395.38 59.1525 8.65503 -17.5884 1150.62 it0 4huq-TM-A 5592 Bound
83 14.032 35.633 14.702597 2760.17 54.7227 6.78476 -8.11399 1211.71 it0 4huq-TM-A 7320 Bound
84 0.316 1.093 -51.582695 287.819 -39.9985 -12.3292 -22.0906 1964.11 it0 4huq-TM-A 974 Bound
85 9.452 30.068 -4.6195682 1098.7 8.55218 6.07496 -6.30985 1545.72 it0 4huq-TM-A 3482 Bound
86 13.068 31.626 11.64532 2076.59 31.038 12.0586 -6.21986 1526.97 it0 4huq-TM-A 6877 Bound
87 11.208 31.046 8.801668 2458.1 52.8188 5.0784 -9.19442 1219.15 it0 4huq-TM-A 6410 Bound
88 7.145 33.452 -19.452922 1858.54 22.1168 -11.5023 -16.7861 997.109 it0 4huq-TM-A 1763 Bound
89 6.500 23.693 4.273875 1630.12 45.9339 -0.236434 -1.28693 1096.33 it0 4huq-TM-A 5632 Bound
90 0.293 1.045 -54.822631 206.814 -56.1471 -11.8374 -24.8627 1962.92 it0 4huq-TM-A 141 Bound
91 7.047 36.877 30.4087 3705.4 217.221 -2.88146 4.09695 1003.3 it0 4huq-TM-A 8771 Bound
92 0.224 0.570 -50.860765 144.237 -62.0435 -11.8196 -20.5784 1928.47 it0 4huq-TM-A 1163 Bound
93 6.103 24.925 -13.884872 1615.59 25.6158 -4.07048 -9.86225 1636.42 it0 4huq-TM-A 2255 Bound
94 7.082 26.979 2.739831 2633.78 45.2101 -2.87215 -9.98092 1119.7 it0 4huq-TM-A 5273 Bound
95 0.224 0.647 -56.230242 122.146 -63.7202 -11.7683 -25.3473 1969.89 it0 4huq-TM-A 36 Bound
96 3.563 14.359 -13.00189 1324.58 39.987 -4.26247 -8.01539 1436.97 it0 4huq-TM-A 2326 Bound
97 13.883 44.388 -3.582629 1754.05 43.8081 -3.16035 -4.58726 1381.36 it0 4huq-TM-A 3711 Bound
98 3.810 15.144 7.487656 3283.66 98.4116 -12.8921 -1.95786 1148.31 it0 4huq-TM-A 6210 Bound
99 13.785 35.987 0.199279 1224.3 16.5849 7.52291 -8.18598 1154.65 it0 4huq-TM-A 4645 Bound
100 0.257 0.980 -49.316431 167.487 -62.0501 -12.1141 -18.9934 1926.33 it0 4huq-TM-A 1405 Bound
101 11.112 30.911 8.143436 2286.9 57.3116 5.14088 -8.65736 1178.22 it0 4huq-TM-A 6319 Bound
102 0.253 0.859 -51.815446 185.013 -59.1676 -12.0116 -21.146 1991.63 it0 4huq-TM-A 910 Bound
103 4.590 20.713 -21.230485 1281.99 27.9325 -2.70301 -15.1462 1648.05 it0 4huq-TM-A 1674 Bound
104 0.387 1.785 -50.802861 293.36 -32.4161 -12.014 -22.397 1900.13 it0 4huq-TM-A 1172 Bound
105 12.336 34.998 -8.169219 1077.79 70.6881 4.7592 -10.282 1413.12 it0 4huq-TM-A 2877 Bound
106 14.690 52.194 32.479287 3722.03 62.2016 5.41544 -0.847979 993.049 it0 4huq-TM-A 8879 Bound
107 0.270 0.812 -52.354205 255.078 -50.3785 -12.0298 -22.5842 1978.72 it0 4huq-TM-A 748 Bound
108 7.061 27.020 9.861184 3399.35 71.1544 -3.11345 -9.82221 1190.82 it0 4huq-TM-A 6566 Bound
109 8.768 29.726 3.4323841 1318.61 -1.56249 8.50304 -0.847831 1739.33 it0 4huq-TM-A 5439 Bound
110 0.261 0.840 -50.541161 191.135 -54.1211 -12.0062 -20.5109 1939.42 it0 4huq-TM-A 1224 Bound
111 12.708 42.438 4.372195 1693.09 34.9619 -2.48571 0.449786 1087.24 it0 4huq-TM-A 5649 Bound
112 9.097 40.812 55.397022 5229.92 94.5242 -3.74742 16.1736 1027.36 it0 4huq-TM-A 9869 Bound
113 7.160 33.484 -16.427719 2306.4 37.5781 -11.8114 -17.6054 1045.07 it0 4huq-TM-A 1991 Bound
114 13.883 31.433 9.548072 2239.03 66.2162 5.96121 -5.9408 1352.48 it0 4huq-TM-A 6518 Bound
115 9.111 40.991 48.894227 5114.86 66.4837 -3.75987 10.8049 996.424 it0 4huq-TM-A 9664 Bound
116 0.268 0.754 -55.151272 180.514 -53.3712 -11.9549 -24.656 1981.18 it0 4huq-TM-A 99 Bound
117 11.895 35.609 35.350437 3571.84 78.8007 6.33143 5.4037 1289.11 it0 4huq-TM-A 9026 Bound
118 11.069 31.100 19.068879 3593.58 63.4009 4.81057 -10.1469 1216.46 it0 4huq-TM-A 7848 Bound
119 8.701 31.517 44.57493 3543.69 115.46 -1.14307 19.0709 994.44 it0 4huq-TM-A 9484 Bound
120 12.223 35.427 -7.788374 1053.97 33.3426 10.6474 -14.1903 1511.86 it0 4huq-TM-A 2925 Bound
121 0.301 1.004 -53.167676 239.812 -51.7796 -12.1097 -23.0504 1988.79 it0 4huq-TM-A 507 Bound
122 12.393 52.514 37.83759 4669.38 109.387 -7.92099 5.69867 772.776 it0 4huq-TM-A 9160 Bound
123 0.271 1.093 -50.421612 97.1449 -66.8261 -12.1238 -19.517 1908.4 it0 4huq-TM-A 1250 Bound
124 4.002 16.294 -7.93015 1523.78 25.1828 -0.627338 -8.83834 1395.41 it0 4huq-TM-A 2905 Bound
125 0.257 0.671 -53.549376 222.926 -53.2736 -11.8379 -24.3162 1909.18 it0 4huq-TM-A 412 Bound
126 15.329 48.505 13.80526 3155.44 118.576 -3.65054 -2.21466 1306.97 it0 4huq-TM-A 7201 Bound
127 14.369 35.470 24.877713 3080.49 67.9533 4.32243 -2.91321 801.594 it0 4huq-TM-A 8393 Bound
128 5.231 22.430 -7.350766 2200.36 80.0454 -5.39077 -9.52485 1523.92 it0 4huq-TM-A 3003 Bound
129 13.936 36.657 3.859137 2040.82 50.4007 -2.37567 -7.54472 713.268 it0 4huq-TM-A 5536 Bound
