complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 17.923 40.988 31.903448 3411.31 85.2368 -2.85091 6.07923 629.034 it0 4huq-TM-B 4539 Bound
2 11.334 35.861 41.543243 4413.23 72.8843 4.36173 2.86017 1053.98 it0 4huq-TM-B 5932 Bound
3 17.808 50.460 26.895776 4292.15 85.6656 -4.98286 -2.75531 914.421 it0 4huq-TM-B 3669 Bound
4 15.387 53.293 19.056561 4990.59 94.6181 -2.69042 -17.7503 1135.48 it0 4huq-TM-B 2209 Bound
5 17.052 45.428 0.558191 2846.74 85.4591 -9.6383 -3.3268 1579.87 it0 4huq-TM-B 396 Bound
6 13.233 39.407 13.64131 3338.35 117.38 -4.14453 -2.16876 1460.27 it0 4huq-TM-B 1343 Bound
7 7.551 18.339 9.02111 3233.43 143.965 3.27136 -13.5938 1443.04 it0 4huq-TM-B 853 Bound
8 16.806 49.630 20.502666 3497.37 77.9416 2.98668 -7.54333 1069.38 it0 4huq-TM-B 2480 Bound
9 5.410 11.772 26.429658 4638.78 82.6178 -9.62075 -3.07177 809.18 it0 4huq-TM-B 3573 Bound
10 7.847 21.758 25.25383 4153.09 83.423 -15.8335 12.0556 1333.34 it0 4huq-TM-B 3367 Bound
11 11.000 44.811 33.422304 5595.25 99.9264 -4.48655 -10.1916 885.131 it0 4huq-TM-B 4804 Bound
12 13.486 48.079 65.653166 5905.68 69.8986 7.02731 7.68374 881.367 it0 4huq-TM-B 8681 Bound
13 15.380 58.030 6.29688 3771.92 119.555 -2.33467 -17.2485 1303.47 it0 4huq-TM-B 647 Bound
14 6.989 16.159 40.350173 5063.49 115.013 -2.72383 0.616033 932.706 it0 4huq-TM-B 5783 Bound
15 15.484 50.515 32.33892 4577.49 125.141 3.96066 -6.09695 1255.11 it0 4huq-TM-B 4622 Bound
16 11.342 35.993 42.312384 4612.05 91.7944 4.00271 2.19223 1092.1 it0 4huq-TM-B 6026 Bound
17 16.978 45.415 15.95086 3439.13 144.283 -11.0083 4.77973 1365.47 it0 4huq-TM-B 1677 Bound
18 10.851 36.009 17.42416 3369.54 156.028 -7.88882 3.9751 1391.78 it0 4huq-TM-B 1916 Bound
19 17.850 40.701 11.4549 3400.7 120.116 -6.78805 -3.12121 1384.4 it0 4huq-TM-B 1083 Bound
20 8.267 22.983 -4.77851 2613.67 97.8829 -0.246839 -12.5073 1913.99 it0 4huq-TM-B 243 Bound
21 11.138 33.472 89.979232 8778.25 84.3252 3.537 7.34018 952.37 it0 4huq-TM-B 9895 Bound
22 15.535 31.592 61.46525 6500.24 111.949 -2.63424 6.26102 828.342 it0 4huq-TM-B 8257 Bound
23 13.544 47.747 81.095976 7357.67 89.4836 7.6145 8.51078 950.084 it0 4huq-TM-B 9664 Bound
24 7.988 27.988 41.33182 5818.64 102.493 -8.00468 -1.81095 806.388 it0 4huq-TM-B 5910 Bound
25 12.250 36.849 51.052707 4898.57 85.7277 3.7714 6.06008 862.175 it0 4huq-TM-B 7061 Bound
26 17.891 41.073 45.57787 4751.2 127.516 -2.96181 5.92833 617.581 it0 4huq-TM-B 6397 Bound
27 5.272 22.968 16.69548 4379.77 104.837 -2.30799 -14.9975 1084.51 it0 4huq-TM-B 1812 Bound
28 12.852 34.037 2.423586 4245.1 177.989 0.278196 -28.3416 1374.39 it0 4huq-TM-B 467 Bound
29 11.007 35.121 73.462205 5747.4 93.0815 11.4464 12.9148 930.381 it0 4huq-TM-B 9257 Bound
30 7.623 25.844 25.974641 4334.91 62.1201 -4.98983 -2.84403 1016.18 it0 4huq-TM-B 3494 Bound
31 0.390 1.654 -66.172114 417.461 -48.9524 -23.961 -17.1787 2871.75 it0 4huq-TM-B 21 Bound
32 6.658 18.810 58.17327 5680.74 123.701 3.07185 2.80041 574.34 it0 4huq-TM-B 7906 Bound
33 10.904 46.860 17.357482 4813.59 75.0422 -6.77891 -15.016 973.393 it0 4huq-TM-B 1908 Bound
34 4.118 16.365 19.258219 3799.52 50.3839 -7.9441 1.41598 1271.27 it0 4huq-TM-B 2250 Bound
35 13.516 48.081 59.49858 5142.43 61.215 7.34853 8.874 876.04 it0 4huq-TM-B 8069 Bound
36 5.739 24.477 37.74114 5237.8 100.667 -1.65744 -3.77379 1021.23 it0 4huq-TM-B 5436 Bound
37 8.248 17.763 17.276922 3832.27 49.0802 -9.81295 1.33877 1306.24 it0 4huq-TM-B 1901 Bound
38 7.590 34.706 80.216879 8263.69 134.246 2.0608 0.655999 647.928 it0 4huq-TM-B 9617 Bound
39 15.391 32.556 74.04333 7233.79 170.274 4.53683 3.42018 795.432 it0 4huq-TM-B 9295 Bound
40 17.428 52.025 13.12084 4181.32 75.064 -7.5211 -10.8821 1103.98 it0 4huq-TM-B 1275 Bound
41 12.184 36.412 54.561413 5372.39 99.3563 3.62487 5.1153 889.622 it0 4huq-TM-B 7480 Bound
42 8.185 36.435 42.262704 6111.98 91.1804 -5.50124 -5.73175 853.591 it0 4huq-TM-B 6016 Bound
43 16.773 49.728 17.69592 3701.84 79.919 3.03023 -12.3055 1084.64 it0 4huq-TM-B 1960 Bound
44 8.268 20.443 8.515565 3594.07 211.711 0.231855 -12.5614 1721.27 it0 4huq-TM-B 809 Bound
45 16.800 49.620 38.35012 5338.17 100.119 3.08079 -8.56416 1054.94 it0 4huq-TM-B 5533 Bound
46 13.546 47.435 69.474446 6076.68 71.9266 7.38591 9.72012 911.765 it0 4huq-TM-B 8971 Bound
47 17.440 52.248 -2.02843 2825.1 39.463 -7.42136 -12.1025 1115.02 it0 4huq-TM-B 318 Bound
48 17.400 52.692 14.77137 4387.17 119.691 -7.62252 -9.48592 1318.88 it0 4huq-TM-B 1504 Bound
49 7.068 18.512 41.19709581 4474.89 81.442 4.571581E-02 1.99845 641.039 it0 4huq-TM-B 5891 Bound
50 8.312 18.004 26.969475 4576.07 80.8785 -10.2006 3.54249 1294.19 it0 4huq-TM-B 3680 Bound
51 10.621 32.507 67.390057 5883.02 63.5157 6.13405 10.531 874.035 it0 4huq-TM-B 8820 Bound
52 16.248 47.600 80.116999 8586.83 151.06 -0.811441 2.02662 847.708 it0 4huq-TM-B 9611 Bound
53 5.206 17.033 28.26151 4530.95 111.792 -5.44366 -2.24675 1047.55 it0 4huq-TM-B 3916 Bound
54 12.539 26.953 36.26509 4813.93 203.031 -7.80396 2.64103 874.159 it0 4huq-TM-B 5262 Bound
55 10.299 33.195 70.652643 7280.84 74.3263 3.98742 3.42406 1031.05 it0 4huq-TM-B 9074 Bound
56 13.655 40.497 12.763419 3792.08 123.857 -0.994951 -14.6179 1078.31 it0 4huq-TM-B 1231 Bound
57 13.579 47.364 70.365279 6435.41 80.0649 7.51854 6.67859 898.66 it0 4huq-TM-B 9044 Bound
58 7.980 28.387 35.29689 5625.24 95.626 -8.02783 -5.73463 814.931 it0 4huq-TM-B 5106 Bound
59 10.910 36.431 83.49591 6405.33 141.093 12.0429 15.2043 921.552 it0 4huq-TM-B 9757 Bound
60 12.443 25.858 38.560928 4168.28 73.8238 4.50373 2.37486 1073.87 it0 4huq-TM-B 5565 Bound
61 14.536 37.323 23.962471 3457.48 41.7461 3.74799 -4.93722 984.056 it0 4huq-TM-B 3106 Bound
62 6.644 18.304 56.80427 5674.85 117.502 3.14187 1.50273 576.385 it0 4huq-TM-B 7757 Bound
63 17.872 41.393 46.24543 4989.24 140.315 -3.83306 4.81185 602.891 it0 4huq-TM-B 6471 Bound
