complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 19.255 54.579 142.07015 18335.7 159.959 1.18206 -28.8222 1524.63 it0 4huq-TM 7597 Bound
2 13.033 31.418 119.43468 15604.8 220.981 -1.57233 -24.3953 1285.55 it0 4huq-TM 6863 Bound
3 10.628 23.952 91.185003 13911.1 192.513 0.948773 -36.6015 1419.84 it0 4huq-TM 5586 Bound
4 19.039 51.045 44.48902521 11395.1 248.976 7.946521E-02 -54.6293 1740.19 it0 4huq-TM 3093 Bound
5 14.753 36.098 178.46028 21213.7 209.607 -1.22279 -22.6813 1186.87 it0 4huq-TM 8352 Bound
6 14.398 39.992 51.18172 11627.2 353.998 3.30144 -52.8161 1911.56 it0 4huq-TM 3459 Bound
7 19.339 53.828 197.27583 21485.4 216.731 -2.06064 -8.53651 914.833 it0 4huq-TM 8539 Bound
8 23.437 41.376 229.24644 24026.9 233.404 -10.0483 6.25465 956.295 it0 4huq-TM 8831 Bound
9 8.383 24.596 29.95875 7809.06 170.592 1.94363 -35.2715 1650.99 it0 4huq-TM 2347 Bound
10 10.734 31.935 83.726503 14751.5 404.175 -0.608747 -49.7831 1743.84 it0 4huq-TM 5219 Bound
11 6.762 21.297 -22.02431 5959.81 248.814 1.35495 -60.0496 2541.59 it0 4huq-TM 350 Bound
12 8.490 24.728 46.0186 10343.8 260.134 1.13046 -42.4393 1871.19 it0 4huq-TM 3187 Bound
13 18.829 54.149 12.5599 8828.91 147.337 -1.55607 -52.0581 2358.84 it0 4huq-TM 1389 Bound
14 14.696 42.849 30.27507 10557.2 244.748 5.35679 -60.2717 2282.95 it0 4huq-TM 2358 Bound
15 12.845 41.860 115.314932 17044.1 268.786 -0.851228 -40.531 1643.17 it0 4huq-TM 6688 Bound
16 21.547 49.354 205.53749 21313.3 173.077 1.73581 -2.74165 832.044 it0 4huq-TM 8613 Bound
17 19.292 45.574 52.295125 10480.2 212.179 -0.276765 -38.0287 1632.32 it0 4huq-TM 3521 Bound
18 8.492 24.739 49.0089 10604.2 266.134 1.13846 -42.3033 1852.96 it0 4huq-TM 3344 Bound
19 14.717 42.899 5.44572 8047.86 206.442 5.6563 -60.5153 2223.83 it0 4huq-TM 1081 Bound
20 16.936 45.303 41.46782 11757.5 233.403 -1.48771 -57.3934 1956.01 it0 4huq-TM 2947 Bound
21 20.185 56.416 160.40614 19709.9 228.522 -4.04478 -21.2394 1369.39 it0 4huq-TM 8026 Bound
22 9.998 33.115 56.313478 11033.7 262.936 -0.362282 -41.5064 1478.42 it0 4huq-TM 3712 Bound
23 24.825 57.368 327.61487 33577.4 268.146 -2.13193 1.62264 1033.13 it0 4huq-TM 9929 Bound
24 18.389 42.707 88.654479 12943.9 370.09 -0.699821 -27.3887 1639.69 it0 4huq-TM 5470 Bound
25 19.702 47.918 266.21578 28181.4 247.421 1.51427 -5.8485 1373.82 it0 4huq-TM 9337 Bound
26 23.967 47.324 230.63475 24091.8 375.849 -3.2349 -0.41964 1038.72 it0 4huq-TM 8848 Bound
27 9.971 30.079 94.17937 13673 239.911 1.81856 -34.9904 1177.79 it0 4huq-TM 5745 Bound
28 18.976 45.218 6.076909 7573.44 212.992 -0.861411 -49.3455 2158.05 it0 4huq-TM 1111 Bound
29 15.723 46.346 175.31147 21286.1 239.99 2.31097 -30.8347 1142.57 it0 4huq-TM 8316 Bound
30 19.021 52.816 32.768932 10413.5 234.548 0.430952 -55.4162 1872.63 it0 4huq-TM 2509 Bound
31 15.998 37.843 -9.6548 6658.08 149.052 2.19928 -57.6881 2223.73 it0 4huq-TM 625 Bound
32 19.972 57.028 121.31929 17201.8 695.029 -3.9096 -36.6741 1706.53 it0 4huq-TM 6931 Bound
33 25.803 53.519 197.30536 20294.1 307 -0.79653 2.60829 1051.74 it0 4huq-TM 8540 Bound
34 20.351 56.572 60.10741 11868.1 279.331 -4.5543 -41.6439 1516.87 it0 4huq-TM 3914 Bound
35 20.430 56.927 190.55099 21169.5 201.749 -3.31219 -9.46391 1038.54 it0 4huq-TM 8476 Bound
36 13.776 38.576 146.560154 19008.6 364.726 0.616094 -36.2304 1155.88 it0 4huq-TM 7727 Bound
37 0.162 0.488 -183.619342 684.477 -86.6045 -0.267067 -135.905 5342.6 it0 4huq-TM 52 Bound
38 19.206 41.135 316.9026 33484.6 251.213 2.96757 -10.6517 1277.14 it0 4huq-TM 9882 Bound
39 9.543 28.589 95.744449 15313.8 314.703 -0.102381 -44.1123 1632.59 it0 4huq-TM 5817 Bound
40 11.371 36.344 38.779751 10011.4 371.556 -0.970009 -45.8272 1825.26 it0 4huq-TM 2821 Bound
41 19.126 49.747 5.50421 8262.34 313.135 -1.28494 -56.5297 2243.59 it0 4huq-TM 1083 Bound
42 12.590 38.001 79.58503 13046.5 329.343 5.974 -42.2289 1791.85 it0 4huq-TM 4993 Bound
43 19.342 51.885 134.52697 16466.9 171.266 1.81441 -18.9729 1469.62 it0 4huq-TM 7366 Bound
44 19.486 54.770 9.304628 9560.85 174.427 -0.719442 -59.9008 2742.79 it0 4huq-TM 1240 Bound
45 13.192 38.578 68.45136 11456 451.417 4.61009 -37.8272 1740.57 it0 4huq-TM 4379 Bound
46 8.512 21.387 18.397027 9475.77 215.398 0.147847 -56.9117 2175.08 it0 4huq-TM 1717 Bound
47 15.575 39.661 118.64068 14514.9 163.787 1.61741 -16.8786 1288.5 it0 4huq-TM 6834 Bound
48 24.317 51.428 202.556237 21420.8 361.569 0.331267 -4.23602 1136.27 it0 4huq-TM 8586 Bound
49 10.344 29.587 45.14636 9797.85 266.543 7.89673 -42.6182 2077.61 it0 4huq-TM 3130 Bound
50 14.688 42.803 47.15272 12176.8 239.585 5.51577 -60.4193 2210.76 it0 4huq-TM 3251 Bound
51 9.234 27.083 19.80352 8120.08 137.441 -3.24529 -41.0312 1849.52 it0 4huq-TM 1800 Bound
52 16.513 43.755 59.52799 11920.2 347.08 -1.71331 -49.1264 1230.51 it0 4huq-TM 3887 Bound
53 20.284 56.492 144.80646 18498.3 196.506 -1.3714 -27.626 1314.42 it0 4huq-TM 7675 Bound
54 19.947 48.073 40.00591 9523.29 518.638 -1.27677 -45.6922 1344.44 it0 4huq-TM 2879 Bound
55 21.766 54.026 240.90637 27745.8 380.139 -2.60862 -22.3006 1544.38 it0 4huq-TM 8966 Bound
56 10.024 33.162 62.154981 11469.2 264.811 -0.279229 -39.9651 1494.08 it0 4huq-TM 4039 Bound
57 13.096 37.430 10.93074 8168.49 269.165 2.23969 -51.557 2412.85 it0 4huq-TM 1319 Bound
58 13.104 37.474 15.8031 8682.43 303.393 2.27157 -52.1872 2413.95 it0 4huq-TM 1546 Bound
59 18.094 51.726 145.945885 18502.5 298.069 -0.843905 -25.7457 1547.02 it0 4huq-TM 7708 Bound
60 12.158 32.875 60.25903 13570.6 139.508 1.45735 -58.5214 1977.8 it0 4huq-TM 3925 Bound
61 12.895 42.168 44.215055 9242.34 166.422 0.760535 -34.7739 1585.92 it0 4huq-TM 3079 Bound
62 22.944 55.466 173.89047 20349.3 259.187 0.90635 -23.1578 994.295 it0 4huq-TM 8286 Bound
63 23.399 54.081 221.69115 25629.9 401.645 -0.10801 -29.0239 949.239 it0 4huq-TM 8753 Bound
64 19.337 51.904 128.1668 16152.5 194.768 1.83252 -22.2318 1490.66 it0 4huq-TM 7147 Bound
65 18.613 47.095 13.817062 8455.19 229.804 -0.985178 -55.5041 1654.36 it0 4huq-TM 1456 Bound
66 22.244 48.113 238.46693 23716.6 321.044 2.18934 3.94592 804.477 it0 4huq-TM 8941 Bound
67 19.816 52.422 170.04948 19770.2 225.292 3.58796 -18.2808 1521.26 it0 4huq-TM 8226 Bound
68 17.236 38.892 10.18036184 8033.01 202.133 -2.736816E-02 -50.785 2135.87 it0 4huq-TM 1274 Bound
69 19.758 57.064 111.74808 16371.6 456.401 -4.72533 -35.5647 1624.19 it0 4huq-TM 6542 Bound
70 11.003 35.097 79.094807 13862.6 400.212 -0.500813 -46.5226 1650.99 it0 4huq-TM 4968 Bound
71 10.210 27.310 19.803153824 9028.68 272.099 9.763824E-03 -56.3252 1688.92 it0 4huq-TM 1799 Bound
72 19.082 51.320 16.267296 9191.07 167.8 0.496596 -56.747 2107.1 it0 4huq-TM 1578 Bound
73 16.280 41.540 -1.412479 8437.85 310.092 -0.868899 -68.6598 1936.32 it0 4huq-TM 836 Bound
74 15.507 36.708 95.19553 15273.9 306.937 -5.66784 -38.0005 1694.45 it0 4huq-TM 5796 Bound
75 19.280 46.099 31.787512 11002.7 172.817 0.501242 -59.2402 2122.87 it0 4huq-TM 2450 Bound
76 22.773 52.139 252.83449 25241 308.874 2.11648 4.01133 879.206 it0 4huq-TM 9148 Bound
77 12.653 33.058 88.399884 13989.4 227.77 0.797984 -38.8085 1576.13 it0 4huq-TM 5457 Bound
78 14.426 40.034 43.20113 10622.4 310.746 3.30507 -50.6814 1875.4 it0 4huq-TM 3026 Bound
79 15.509 43.184 131.79419 16390 197.688 1.46131 -23.7609 1178.31 it0 4huq-TM 7276 Bound
80 19.044 53.217 22.094097 9576.7 224.065 0.476147 -58.3014 1808.83 it0 4huq-TM 1932 Bound
81 23.609 54.285 268.88496 27105.7 260.803 1.70656 5.71127 1219.79 it0 4huq-TM 9372 Bound
82 15.498 39.530 162.49443 18970 242.205 1.51888 -17.9819 1316.46 it0 4huq-TM 8087 Bound
83 19.583 54.388 20.44268 10599.7 222.86 -1.40662 -60.0538 2632.25 it0 4huq-TM 1834 Bound
84 23.714 54.110 276.0424 27462.3 414.364 1.60927 5.08321 941.672 it0 4huq-TM 9485 Bound
85 18.520 42.434 100.64096 14771.5 339.63 1.61636 -37.556 1453.07 it0 4huq-TM 6053 Bound
86 15.570 45.098 199.28052 24551.6 214.9 -1.47498 -34.2959 1261.36 it0 4huq-TM 8557 Bound
87 13.440 35.125 95.849639 16548.5 273.916 0.812779 -51.7908 2139.65 it0 4huq-TM 5823 Bound
