complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 23.639 60.767 682.74501 29441.7 37325.2 8.92061 22.5796 1642.42 it0 4q35 2330 Hard
2 27.960 72.748 718.0078 41101.4 28247.1 21.9837 17.3299 1479.08 it0 4q35 3089 Hard
3 28.476 68.294 562.4032 32724.9 24195.7 -13.4212 25.4631 1884.47 it0 4q35 353 Hard
4 22.740 55.563 949.13091 50290.8 46229.5 -1.60369 -4.61767 985.073 it0 4q35 7518 Hard
5 28.471 74.295 1055.178 51887.7 54412.8 -11.3105 13.8027 1031.92 it0 4q35 8541 Hard
6 28.530 74.314 1105.37816 48320.2 61344.1 5.67486 17.8285 1476.82 it0 4q35 8847 Hard
7 30.177 75.653 804.25009 40328.9 41304.7 -5.51201 9.166 1573.99 it0 4q35 4996 Hard
8 28.399 74.196 794.66666 42864.8 35760.8 4.67606 17.5366 1380.2 it0 4q35 4792 Hard
9 27.491 71.146 765.162951 44325.3 34542.1 -0.449849 -10.3935 1266.77 it0 4q35 4131 Hard
10 28.126 68.998 692.8915 36920.5 33592.9 -15.8287 18.2117 1462.55 it0 4q35 2551 Hard
11 28.240 71.609 626.15409 33359.7 28267.9 7.95699 18.1901 1626.9 it0 4q35 1198 Hard
12 24.660 61.952 732.7227 48355.3 26747.8 10.4371 -14.4425 1430.29 it0 4q35 3418 Hard
13 31.687 77.733 687.58696 27256.6 42295.8 2.59377 1.15139 1168.22 it0 4q35 2426 Hard
14 30.843 78.325 1023.4546 49303.9 54057 -14.7491 16.0283 1143.36 it0 4q35 8261 Hard
15 31.036 76.876 804.98201 38617.3 41922.7 2.65541 11.0971 1417.05 it0 4q35 5014 Hard
16 21.633 55.862 640.82854 33706.8 33081.6 1.27094 -11.8118 1651.46 it0 4q35 1454 Hard
17 31.737 79.761 889.19353 44027.7 45031.6 -1.01903 5.06661 544.705 it0 4q35 6627 Hard
18 28.945 73.255 772.29019 42425.3 35112 6.02749 5.971 1508.13 it0 4q35 4291 Hard
19 26.851 65.186 583.944139 27596 33225.6 -0.537181 -2.32018 2141.45 it0 4q35 562 Hard
20 28.160 67.370 766.3227 36610.8 40899.3 -15.9649 25.4212 1823.46 it0 4q35 4161 Hard
21 30.869 75.019 924.8415 35021.9 58727.8 1.43395 5.75555 1984.5 it0 4q35 7175 Hard
22 27.366 71.921 859.401589 48499.5 39537.4 -0.724971 -8.87034 1137.21 it0 4q35 6093 Hard
23 23.481 62.484 660.57595 41520.2 27444.1 1.92165 -17.4505 1353.82 it0 4q35 1831 Hard
24 30.172 73.272 1156.30654 41795 72516.5 3.80674 23.6848 1430 it0 4q35 9071 Hard
25 28.035 73.005 916.42881 55031.9 37383.2 -5.3831 7.93471 1027.38 it0 4q35 7053 Hard
26 26.480 62.825 575.99012 31497.2 26339.6 -7.21918 29.9087 2506.74 it0 4q35 475 Hard
27 24.503 59.676 590.5842 33182.4 26237.4 -15.8892 32.7503 2047.49 it0 4q35 628 Hard
28 18.765 45.261 607.79385 37530.3 24631 -5.44155 14.0551 2243.27 it0 4q35 889 Hard
29 29.613 77.099 35772.34686 52458.9 3.522647E+06 14.6401 15.801 915.324 it0 4q35 9967 Hard
30 28.468 73.078 727.228481 44127.5 29567.7 0.678261 4.16832 1457.01 it0 4q35 3300 Hard
31 29.584 71.787 824.2382 35736.5 46877 -12.4921 24.7155 1412.02 it0 4q35 5392 Hard
32 30.696 73.372 811.15582 35878.7 47455.6 -6.32225 5.83827 2170.32 it0 4q35 5137 Hard
