complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 14.564 28.449 -10.147016 1727.94 45.2443 -0.112069 -19.0695 869.729 it0 5a63-AC 2628 Intermediate
2 15.039 29.059 4.837642 3113.58 80.2723 0.102119 -17.7619 944.11 it0 5a63-AC 4025 Intermediate
3 14.027 28.990 13.721111 3323.12 49.4266 0.513925 -11.2448 927.348 it0 5a63-AC 5260 Intermediate
4 14.941 28.524 -7.16484349 2555.7 47.0561 5.839551E-02 -20.0648 1318.6 it0 5a63-AC 2907 Intermediate
5 12.514 26.636 29.567575 5485.63 82.0822 0.920203 -17.166 986.375 it0 5a63-AC 7905 Intermediate
6 14.574 27.474 -20.16933 2729.44 124.619 -2.25032 -31.1884 1527.12 it0 5a63-AC 1637 Intermediate
7 9.159 19.284 20.383895 4248.19 36.0755 0.80164 -13.7383 952.21 it0 5a63-AC 6386 Intermediate
8 13.990 26.936 -7.754912 2106.38 47.7656 -0.680168 -17.6012 1101.5 it0 5a63-AC 2862 Intermediate
9 11.548 23.167 0.834957 2826.15 47.8904 -0.878647 -16.8506 1017.62 it0 5a63-AC 3619 Intermediate
10 14.520 27.326 -34.8121 1759.86 64.2765 0.476735 -35.9432 1758.7 it0 5a63-AC 522 Intermediate
11 5.871 12.970 -18.74998 2547.79 113.252 1.2416 -36.026 1057.6 it0 5a63-AC 1782 Intermediate
12 14.287 28.139 11.755313 3501.92 73.4671 0.120232 -15.8642 825.459 it0 5a63-AC 4935 Intermediate
13 14.597 28.367 7.106387 2050.84 63.5573 -0.439226 -6.63742 696.094 it0 5a63-AC 4277 Intermediate
14 10.181 21.308 39.201741 5904.54 79.1161 -1.96425 -8.13857 1053.2 it0 5a63-AC 8943 Intermediate
15 9.101 19.331 35.251849 4881.6 86.2888 0.293101 -6.24283 847.731 it0 5a63-AC 8586 Intermediate
16 11.898 25.480 19.602771 5750.5 98.5252 -0.305181 -30.3831 819.92 it0 5a63-AC 6250 Intermediate
17 12.940 27.097 29.201197 5724.61 37.3908 -0.232561 -18.2196 996.665 it0 5a63-AC 7848 Intermediate
18 9.610 20.396 29.206584 4660.22 137.198 -0.104906 -10.7768 788.589 it0 5a63-AC 7851 Intermediate
19 6.042 12.804 -15.525022 2653.07 78.4273 -0.149895 -32.1995 1049.06 it0 5a63-AC 2069 Intermediate
20 11.500 28.233 103.88476 15117.5 177.208 -1.75402 -33.8881 1342.02 it0 5a63-AC 9764 Intermediate
21 6.949 14.559 -2.483292 4039.73 90.658 -0.310672 -32.9535 1052.3 it0 5a63-AC 3319 Intermediate
22 11.805 24.759 59.596492 7399.21 79.4752 1.15875 -8.61988 772.923 it0 5a63-AC 9638 Intermediate
23 13.708 28.907 50.768388 6328.78 79.9786 0.204392 -7.61667 590.692 it0 5a63-AC 9499 Intermediate
24 16.181 35.033 45.26907 5566.63 161.967 3.85703 -5.66213 1021.18 it0 5a63-AC 9312 Intermediate
25 15.660 30.855 4.771122 2626.25 124.907 -0.191048 -12.2773 1027.21 it0 5a63-AC 4014 Intermediate
26 13.341 28.255 26.71304 4667.85 52.8769 0.402091 -12.6953 820.102 it0 5a63-AC 7457 Intermediate
27 8.217 17.390 0.583849 2974.93 41.8649 0.52932 -20.3405 977.292 it0 5a63-AC 3598 Intermediate
28 4.218 9.470 -17.912522 2430.7 96.7188 0.94089 -33.572 1055.56 it0 5a63-AC 1856 Intermediate
29 14.654 27.740 -25.44232 1854.17 100.589 -1.36721 -30.2251 1339.76 it0 5a63-AC 1151 Intermediate
30 3.207 6.604 -42.658057 2016.68 50.0777 0.483666 -49.8097 1399.96 it0 5a63-AC 192 Intermediate
31 14.843 29.362 15.160135 3320.87 81.5909 -0.154194 -11.1551 755.518 it0 5a63-AC 5512 Intermediate
32 14.841 29.352 21.111615 3857.4 88.9662 -0.224907 -10.5871 754.004 it0 5a63-AC 6514 Intermediate
33 14.491 29.609 14.393575 3331.53 80.3849 -0.526614 -10.8915 830.746 it0 5a63-AC 5375 Intermediate
34 14.553 29.705 22.976281 4032.44 88.8703 0.247198 -10.597 788.702 it0 5a63-AC 6819 Intermediate
35 13.254 27.865 38.15062348 4567.29 40.7956 2.343748E-02 -2.09267 586.1 it0 5a63-AC 8839 Intermediate
