complex i-RMSD l-RMSD HS Eair Evdw Eelec Edesolv BSA stage pdb rank difficulty
1 6.673 18.919 -7.664593 974.407 61.8947 4.1359 -9.96621 1219.73 it0 5fxb 6082 Intermediate
2 7.305 20.389 13.826536 2073.03 18.0003 6.74525 0.896683 1472.57 it0 5fxb 9519 Intermediate
3 8.312 18.148 -15.0158869 685.763 6.89431 2.51244 -10.1844 1427.05 it0 5fxb 3655 Intermediate
4 2.773 6.800 -9.222434 1590.47 75.9476 1.66639 -15.9091 1164.39 it0 5fxb 5612 Intermediate
5 3.517 7.517 -19.5846792 685.288 -5.82292 4.57607 -16.565 1439.04 it0 5fxb 2331 Intermediate
6 8.686 18.700 -20.676775 1141.77 39.3345 -2.20662 -14.5668 1571.44 it0 5fxb 2105 Intermediate
7 4.403 14.378 -5.939342 1452.86 44.5618 -5.92908 -5.49084 949.364 it0 5fxb 6550 Intermediate
8 4.634 15.968 2.264717 1960.71 13.2887 -4.58951 -3.71203 917.373 it0 5fxb 8473 Intermediate
9 6.366 15.609 6.415699 1970.57 37.6539 2.65866 -5.5973 1072.79 it0 5fxb 9004 Intermediate
10 3.171 9.914 -0.287064 1441.67 44.0566 1.04171 -5.80444 1038.16 it0 5fxb 8013 Intermediate
11 8.692 18.726 -24.208126 829.837 23.8324 -2.00342 -15.0213 1572.01 it0 5fxb 1429 Intermediate
12 6.524 14.073 8.404333 2530.93 54.1173 1.08853 -9.79707 873.76 it0 5fxb 9190 Intermediate
13 8.755 19.044 -25.4810648 489.551 4.74352 -2.22691 -13.0562 1514.09 it0 5fxb 1169 Intermediate
14 3.029 10.338 -16.115505 1549.96 85.8445 -3.95155 -16.941 1158.1 it0 5fxb 3288 Intermediate
15 3.183 9.979 -8.460451 727.355 35.9612 0.825967 -6.79458 1012.5 it0 5fxb 5855 Intermediate
16 5.310 13.985 -16.1281 895.499 35.281 5.6403 -16.364 1471.22 it0 5fxb 3280 Intermediate
17 5.342 14.888 -8.47946 1200.34 40.192 2.25792 -13.074 1006.87 it0 5fxb 5847 Intermediate
18 8.923 20.094 -27.966737 863.12 30.2093 1.06497 -21.9613 1600.37 it0 5fxb 604 Intermediate
19 6.882 20.610 -12.140423 582.662 23.6747 1.83607 -9.48226 1055.76 it0 5fxb 4704 Intermediate
20 9.193 23.287 -17.34433 1205.59 133.515 2.43732 -17.8899 1528.28 it0 5fxb 2887 Intermediate
21 6.542 13.612 -13.85732182 1062.17 0.154518 -0.844667 -10.627 1300.89 it0 5fxb 4075 Intermediate
22 8.919 20.317 -26.103571 755.21 19.2869 1.60906 -19.4957 1596.19 it0 5fxb 1036 Intermediate
23 8.709 18.858 -23.768501 873.683 20.4969 -2.1861 -14.9105 1561.37 it0 5fxb 1529 Intermediate
24 3.227 10.793 -15.4253761 687.985 1.41099 0.977854 -9.36709 1393.01 it0 5fxb 3525 Intermediate
25 6.818 20.242 -7.850198 1049.21 49.0662 1.98054 -10.399 1041.45 it0 5fxb 6032 Intermediate
26 3.423 7.460 -16.5022136 975.704 4.20164 4.86423 -16.5601 1460.54 it0 5fxb 3150 Intermediate
27 5.965 17.792 -5.912396 1615.38 12.1894 -2.55788 -6.30921 1332.1 it0 5fxb 6555 Intermediate
28 2.432 6.885 -18.027895 922.516 91.0065 4.40398 -18.4042 1416.29 it0 5fxb 2696 Intermediate
29 7.789 17.011 -17.750098 807.967 3.2702 -1.86977 -10.2938 1369.89 it0 5fxb 2764 Intermediate
30 8.916 20.189 -27.990676 710.713 22.7544 1.61555 -21.0119 1592.9 it0 5fxb 593 Intermediate
31 8.843 19.093 15.576883 1920.1 55.3003 6.30044 -2.38528 809.228 it0 5fxb 9606 Intermediate
32 9.084 21.242 -28.483802 868.28 40.4698 -2.996 -20.9266 1364.87 it0 5fxb 472 Intermediate
33 8.971 21.660 -30.385155 968.227 12.6052 0.428023 -25.1738 1544.77 it0 5fxb 156 Intermediate
34 8.925 20.254 -28.460416 803.922 31.3694 1.21427 -22.0009 1602.67 it0 5fxb 474 Intermediate
35 6.389 15.573 7.593415 2212.52 43.3725 2.70589 -6.8466 1082.48 it0 5fxb 9114 Intermediate
36 8.916 20.092 -27.327104 837.278 47.2575 0.873241 -20.7955 1625.02 it0 5fxb 762 Intermediate
37 4.796 15.035 -16.120743 1208.14 39.6427 -4.18527 -13.6621 1075.12 it0 5fxb 3283 Intermediate
38 4.238 13.931 -8.786237 1851 49.4426 -0.584563 -14.306 1290.01 it0 5fxb 5763 Intermediate
39 8.351 18.155 -8.725619 1456.48 40.8981 2.7546 -11.5665 1488.75 it0 5fxb 5781 Intermediate
40 8.913 20.084 -23.694235 1125.56 43.9645 1.05112 -20.1864 1625.42 it0 5fxb 1540 Intermediate
41 3.278 11.642 -15.535503 1647.34 72.6877 -3.81688 -15.9713 1294.76 it0 5fxb 3495 Intermediate
42 7.644 16.144 -2.620419 1454.92 52.2161 -1.1268 -5.57218 1099.28 it0 5fxb 7481 Intermediate
43 4.338 14.924 -2.471449 1675.93 77.4951 2.8495 -10.6606 1219.46 it0 5fxb 7512 Intermediate
44 8.506 17.511 -22.525796 781.336 42.2934 -2.16529 -12.7278 1586.9 it0 5fxb 1744 Intermediate
45 5.743 13.701 -4.829067 1426.54 28.6811 0.324532 -5.93851 1376.73 it0 5fxb 6884 Intermediate
46 5.218 10.832 -6.456934 1239.32 90.8126 3.96268 -9.84254 1387.84 it0 5fxb 6420 Intermediate
47 8.916 20.139 -28.758748 791.493 30.5062 1.26156 -22.2165 1602.38 it0 5fxb 411 Intermediate
48 4.766 13.059 12.771917 2083.26 49.7517 5.17089 -1.70509 1202.4 it0 5fxb 9471 Intermediate
49 3.184 10.014 -2.078121 1378.91 46.7339 1.00327 -7.11613 1022.17 it0 5fxb 7613 Intermediate
50 3.101 10.720 -14.871748 1442.31 75.8782 -3.43503 -14.6003 1201.83 it0 5fxb 3714 Intermediate
51 8.924 20.221 -28.380087 838.717 27.5243 1.1682 -22.3146 1589.61 it0 5fxb 493 Intermediate
52 3.148 11.038 -17.98325 1244.73 63.325 -3.8316 -15.2931 1193.91 it0 5fxb 2709 Intermediate
53 7.921 17.013 -11.30676196 1107.03 14.6344 8.779404E-02 -9.1484 1346.28 it0 5fxb 4997 Intermediate
54 9.804 29.144 -17.093854 1319.69 42.3271 0.585375 -18.5441 1275.53 it0 5fxb 2970 Intermediate
55 8.935 20.174 -27.815595 852.063 35.9555 0.56792 -21.4768 1578.69 it0 5fxb 640 Intermediate
56 3.369 11.888 -17.475348 1142.9 43.2712 -3.75696 -13.5906 1198.95 it0 5fxb 2836 Intermediate
57 3.548 10.876 -6.200912 1437.38 46.5588 2.8361 -13.2854 1059.1 it0 5fxb 6483 Intermediate
58 6.879 13.850 11.12381 2487.91 201.429 3.72265 -10.6325 885.973 it0 5fxb 9377 Intermediate
59 8.689 18.748 -21.921749 1011.9 34.4521 -2.83117 -13.6684 1588.57 it0 5fxb 1865 Intermediate
60 3.391 11.053 -11.12647736 1171.13 29.5636 -9.441336E-02 -11.2737 1176.53 it0 5fxb 5060 Intermediate
61 4.482 12.770 4.9740715 2051.27 46.947 4.16815E-02 -6.37272 967.706 it0 5fxb 8835 Intermediate
62 8.304 18.116 -13.884772 760.234 14.5588 2.59986 -9.84926 1438.33 it0 5fxb 4066 Intermediate
63 5.005 17.202 6.742743 2704.44 53.1023 -4.91079 -6.12504 979.685 it0 5fxb 9034 Intermediate
64 6.867 13.873 15.93377 2707.02 187.618 3.87653 -7.96259 892.655 it0 5fxb 9622 Intermediate
65 3.349 10.652 -6.570695 1412.38 12.1572 0.446633 -10.118 1114.47 it0 5fxb 6391 Intermediate
66 8.807 19.404 -26.4418411 571.299 4.74289 -2.62516 -15.0552 1452.19 it0 5fxb 971 Intermediate
67 5.715 17.954 4.165056 1804.7 48.4616 0.54883 -3.14709 1176.83 it0 5fxb 8729 Intermediate
68 2.177 5.083 -18.613586 674.492 57.7814 6.06008 -18.4897 1350.67 it0 5fxb 2542 Intermediate
69 9.009 24.438 -15.041228 1189.22 65.9412 -1.74054 -13.0744 1277.79 it0 5fxb 3643 Intermediate
70 7.351 20.677 11.986691 1747.65 21.5251 6.91485 2.25349 1487.34 it0 5fxb 9427 Intermediate
71 8.746 19.102 -23.560809 1013.91 27.4271 -2.73828 -15.5715 1566.44 it0 5fxb 1557 Intermediate
72 4.342 14.491 -18.782919 1081.22 14.6587 -0.833006 -16.2162 1269.25 it0 5fxb 2498 Intermediate
73 5.995 12.447 -4.346857 1779.44 41.2085 0.697458 -10.1247 1312.61 it0 5fxb 7009 Intermediate
74 5.279 10.973 -6.76329 1158.54 100.077 3.81003 -9.45679 1370.27 it0 5fxb 6334 Intermediate
75 6.529 13.557 -8.114969 1585.18 14.6614 -0.878173 -9.69831 1353.69 it0 5fxb 5956 Intermediate
76 4.317 14.446 -14.519153 1391.96 25.2956 -0.750609 -15.2719 1266.92 it0 5fxb 3834 Intermediate
77 4.850 15.208 13.475449 2545.72 46.2569 -2.03345 -2.18017 823.07 it0 5fxb 9500 Intermediate
78 4.233 13.785 -12.294402 1428.71 35.5721 -0.672823 -13.8409 1242.35 it0 5fxb 4645 Intermediate
79 3.061 10.569 -15.470805 1557.33 82.9015 -3.69992 -16.0906 1208.26 it0 5fxb 3514 Intermediate
80 9.086 21.483 -27.855836 809.448 34.5484 -3.4112 -19.0931 1379.15 it0 5fxb 627 Intermediate
81 8.735 18.924 -24.026862 834.481 34.7758 -2.30813 -14.4577 1595.36 it0 5fxb 1473 Intermediate
82 4.491 12.874 8.021972 2461.32 71.1324 0.234628 -7.45438 1008.28 it0 5fxb 9146 Intermediate
83 8.713 18.774 -24.542873 831.418 20.6157 -2.20971 -14.9544 1589.91 it0 5fxb 1357 Intermediate
84 7.684 16.606 -11.0216834 1291.51 9.29766 -2.17337 -8.32459 1353.18 it0 5fxb 5097 Intermediate
85 8.514 17.497 -21.960737 768.237 28.6583 -1.95139 -11.8534 1612.49 it0 5fxb 1855 Intermediate
86 4.310 14.497 -13.7094226 1461.42 8.73584 -0.727781 -14.9063 1277.69 it0 5fxb 4121 Intermediate
87 8.930 20.175 -29.834055 677.117 36.41 0.615775 -21.5884 1599.67 it0 5fxb 216 Intermediate
88 3.566 7.799 -16.4446731 851.976 -7.00231 4.68349 -15.1829 1439.5 it0 5fxb 3172 Intermediate
89 8.895 17.813 9.201113 2382.37 73.6965 -0.369012 -4.65704 1033.35 it0 5fxb 9255 Intermediate
90 3.217 10.873 -17.639742 872.427 13.1846 0.997042 -13.3121 1418.08 it0 5fxb 2789 Intermediate
91 8.543 16.411 -1.916442 1133.16 31.8528 3.68323 -3.5465 1370.33 it0 5fxb 7638 Intermediate
92 3.062 6.654 -14.837408 1199.6 12.9642 3.95255 -16.5826 1433.3 it0 5fxb 3728 Intermediate
93 5.631 15.650 9.389259 1754.73 48.0429 7.52368 -4.91975 1124.24 it0 5fxb 9267 Intermediate
94 8.924 20.217 -24.119622 1008.54 23.3868 1.29601 -20.1798 1555.51 it0 5fxb 1452 Intermediate
95 8.461 17.158 -22.299219 789.138 26.4641 -1.46704 -12.8258 1616.24 it0 5fxb 1792 Intermediate
96 4.351 13.810 -6.070332 1627.2 55.0178 -5.14457 -7.86361 988.433 it0 5fxb 6517 Intermediate
97 8.337 18.008 -14.035954 799.569 17.5816 2.83744 -9.9926 1505.23 it0 5fxb 4009 Intermediate
98 7.874 17.037 -14.152593 1290.94 22.7805 -0.796198 -12.7266 1376.7 it0 5fxb 3961 Intermediate
99 4.392 14.443 -1.823456 1889.38 56.1984 -6.32938 -5.17308 977.678 it0 5fxb 7663 Intermediate
100 5.716 13.151 -15.190383 1155.16 23.8347 -1.92323 -14.5854 1047.17 it0 5fxb 3591 Intermediate
101 7.108 18.341 3.42447718 1474.88 17.2779 5.005818E-02 4.10864 1565.58 it0 5fxb 8638 Intermediate
102 8.353 18.194 -8.9897663 1226.12 5.88537 2.62562 -9.48274 1445.27 it0 5fxb 5687 Intermediate
103 4.342 14.249 -13.044353 1384.98 32.4941 -0.603994 -14.1352 1247.99 it0 5fxb 4374 Intermediate
104 5.816 13.471 -8.26766928 1744.28 31.0012 -5.438128E-02 -15.2028 1076.33 it0 5fxb 5913 Intermediate
105 8.705 18.755 -22.720372 974.853 38.8698 -2.0285 -14.7985 1603.06 it0 5fxb 1708 Intermediate
